,biomass,gas,hard_coal,hydro,other_fossil,solar,wind_onshore,ES -> PT,demand,PT -> ES,mismatch
7803,193.5,1287.7,1313.9,259.5,115.2,0.0,2240.4,0.0,4863.500000000001,546.7,-2.2737367544323206e-13
7804,194.53306046993148,1301.68785092341,1479.790068955318,268.1675765810734,119.78286987225707,0.0,2122.4185731980115,0.0,4802.0,684.38,1.0231815394945443e-12
7805,202.19647862486948,1637.1220928281602,1789.2741461076205,362.42364087726213,125.37669194815868,0.0,2089.64694961393,0.0,5192.0,1014.04,9.094947017729282e-13
7806,208.73242558110732,2171.184180669667,1835.8524090665126,1433.2815986127741,124.98042855373436,0.0,2068.3289575162053,0.0,5793.0,2049.36,1.3642420526593924e-12
7807,211.7668116412139,2648.30219615679,1931.5700092122845,1657.4016919463868,126.79454866292117,1.5489735438751278,1949.825768836527,0.0,6632.0,1895.21,-9.094947017729282e-13
7808,199.39934327720113,2696.180417072417,1825.769852504572,2135.0166828967053,117.69373619457045,26.78186352516448,1808.5081045293684,0.0,7039.0,1770.35,-1.3642420526593924e-12
7809,192.44329356325292,2639.251068941223,1757.9574086693387,2249.734569940287,112.62763885841007,72.16623508621986,1690.2197849412692,0.0,7116.0,1598.4,-4.547473508864641e-13
7810,192.3416733185689,2700.363891777301,1764.2269615216078,1988.204443431197,112.99946966377298,90.25807371176143,1685.89548657579,0.0,7228.0,1306.29,9.094947017729282e-13
7811,189.7,2620.1,1745.4,1921.8,111.9,98.3,1613.7,0.0,7251.169999999999,1049.73,4.547473508864641e-13
7812,194.3,2523.6,1755.5,1732.4,110.9,90.8,1844.4,0.0,7055.98,1195.92,0.0
7813,186.59216722290532,2826.1192734937645,1785.0244145441773,1776.5891477252767,106.30468786228701,100.71505322325663,1897.3252559283333,0.0,7144.0,1534.67,0.0
7814,184.4,3092.2,1755.3,1509.3,112.9,82.2,1705.1,0.0,7165.51,1275.89,-6.821210263296962e-13
7815,188.5,2984.6,1755.3,1567.0,112.3,42.3,1578.4,0.0,7043.619999999998,1184.78,1.5916157281026244e-12
7816,194.72657802418857,2896.6090919461276,1798.5561672349925,1613.25845509408,116.11853310600297,15.168175551357848,1720.97299904325,0.0,7238.0,1117.41,-2.2737367544323206e-13
7817,191.42635569759855,2975.1447112376495,1807.8354485606899,2257.2443632823934,115.49458812540794,0.20605635704800707,1807.9384767392137,0.0,7522.0,1633.29,9.094947017729282e-13
