,biomass,gas,hydro,lignite,nuclear,other_fossil,other_renewable,wind_onshore,AT -> HU,RO -> HU,RS -> HU,SK -> HU,demand,HU -> AT,HU -> RO,HU -> RS,HU -> SK,mismatch
5449,53.10582056892778,563.1429722830051,16.595568927789934,774.4598832968635,1492.4948322392413,94.04155725747628,8.850970094821298,30.97839533187454,0.0,32.71,131.55,872.05,3959.9,110.08,0.0,0.0,0.0,-5.258016244624741e-13
5450,42.2260606060606,592.2760606060606,16.668181818181818,788.960606060606,1499.0251515151513,94.45303030303029,8.889696969696969,37.781212121212114,0.0,21.41,181.02,896.61,4044.43,134.89,0.0,0.0,0.0,-1.1368683772161603e-13
5451,44.619845722300134,672.4848176718092,16.998036465638148,723.4789270687237,1433.1469495091162,103.05059607293127,9.561395511921457,26.559431977559605,0.0,157.0,229.16,873.45,4165.34,124.17,0.0,0.0,0.0,7.105427357601002e-14
5452,64.82770448548814,827.6336939313986,17.287387862796837,763.8864511873353,1456.4624274406335,105.88525065963063,14.046002638522431,25.931081794195258,0.0,257.05,278.36,842.65,4601.39,52.63,0.0,0.0,0.0,1.0658141036401503e-13
5453,84.78192558746736,911.978550913838,19.476928851174932,803.136889686684,1544.4058877284594,109.98736292428197,17.18552545691906,19.476928851174932,128.91,276.58,234.46,847.24,4997.62,0.0,0.0,0.0,0.0,0.0
5454,85.52709079075821,917.9907744874715,19.38614057923853,808.516098275301,1536.0665506020175,108.33431500162708,18.245779368695086,10.263250894890986,268.44,233.59,188.61,944.7,5139.67,0.0,0.0,0.0,0.0,0.0
5455,81.92577059773829,929.9682067851373,18.820785137318254,771.6521906300485,1491.2704458804524,104.06787075928918,17.71368012924071,11.071050080775445,435.64,210.11,142.49,1041.22,5255.95,0.0,0.0,0.0,0.0,9.094947017729282e-13
5456,86.01683556717882,908.3377835894083,19.4971493952272,813.1458188950638,1546.0092579274274,105.51398496240603,18.350258254331482,11.468911408957176,527.07,244.95,128.14,949.83,5358.33,0.0,0.0,0.0,0.0,0.0
5457,85.35631067961164,934.3670809061487,19.34743042071197,809.1778252427183,1534.1374239482197,102.42757281553396,18.20934627831715,13.657009708737862,562.14,262.78,118.23,972.46,5432.29,0.0,0.0,0.0,0.0,-9.094947017729282e-13
5458,87.6999674585096,935.4663195574357,19.878659290595508,833.7343573055646,1576.260748454279,106.40929384965831,18.709326391148714,15.20132769280833,516.61,269.36,128.64,980.26,5488.23,0.0,0.0,0.0,0.0,0.0
5459,88.64867517173698,942.0399214916583,20.093699705593718,833.2975466143276,1594.4941707556425,106.37841020608438,18.911717369970557,9.455858684985278,498.75,257.64,139.33,969.05,5478.09,0.0,0.0,0.0,0.0,0.0
5460,87.26079033311562,953.9726943174397,20.046397779229267,824.2607086871327,1590.7406237753105,108.48638798171132,18.86719790986284,7.075199216198564,507.43,250.86,138.67,969.76,5477.43,0.0,0.0,0.0,0.0,0.0
5461,87.26993792878143,981.4879320483501,21.518614831754327,823.6847566154851,1611.5051551780462,109.98403136229989,20.323136229990197,3.5864358052923877,464.56,272.74,160.87,946.34,5503.87,0.0,0.0,0.0,0.0,0.0
5462,89.44635950681375,1010.5021155094095,20.548487994808564,841.2792731992213,1626.9567553536665,112.41231667748215,20.548487994808564,3.626203763789747,353.92,277.28,196.36,928.1,5480.98,0.0,0.0,0.0,0.0,0.0
5463,92.29403272377284,1065.6884311838305,20.919980750721844,861.4109720885466,1656.3702406159766,116.90577478344561,19.689393647738207,2.461174205967276,118.78,320.04,184.87,989.2,5448.63,0.0,0.0,0.0,0.0,0.0
5464,105.81476129853598,1077.834080203692,19.686467218332275,874.8173870146405,1657.3544589433484,108.27556970082752,19.686467218332275,2.4608084022915344,80.1,264.7,183.29,989.2,5383.22,0.0,0.0,0.0,0.0,9.094947017729282e-13
5465,109.91117591125199,1017.2630110935024,18.7082852614897,839.5343011093503,1576.173033280507,106.40337242472266,18.7082852614897,2.3385356576862124,226.59,226.14,151.07,1037.49,5330.33,0.0,0.0,0.0,0.0,0.0
5466,129.00110097514943,1102.1453287197232,18.7865681031771,904.2601446995911,1688.2862535388488,117.72916011324317,18.7865681031771,2.50487574709028,52.33,208.59,182.35,1027.08,5451.85,0.0,0.0,0.0,0.0,0.0
5467,136.68941398865783,1109.9686672967864,18.984640831758032,904.9345463137996,1703.555103969754,121.50170132325141,18.984640831758032,2.5312854442344044,0.0,63.09,189.88,1066.79,5252.22,84.69,0.0,0.0,0.0,-3.979039320256561e-13
