,gas,hard_coal,hydro,other_fossil,wind_onshore,demand,mismatch
152,960.0,513.0,188.0,656.0,721.0,3038.0000000000005,-4.547473508864641e-13
153,958.0,511.0,211.0,635.0,728.0,3043.0,0.0
154,1107.0,512.0,210.0,547.0,730.0,3106.0,0.0
155,1256.0,429.0,214.0,568.0,828.0,3295.0,0.0
156,1318.0,356.0,244.0,583.0,826.0,3327.0,0.0
157,1315.0,349.0,253.0,602.0,829.0,3348.0,0.0
158,1314.0,349.0,244.0,600.0,758.0,3265.0,0.0
159,1323.0,364.0,245.0,631.0,783.0,3346.0,0.0
160,1305.0,515.0,240.0,668.0,873.0,3601.0,0.0
161,1296.0,523.0,289.0,647.0,1134.0,3889.0,0.0
162,1296.0,420.0,277.0,613.0,1237.0,3843.0,0.0
163,1296.0,310.0,219.0,588.0,1378.0,3791.0,0.0
164,1138.0,247.0,215.0,558.0,1504.0,3662.0,0.0
165,1060.0,224.0,206.0,495.0,1543.0,3528.0,0.0
166,1093.0,234.0,200.0,500.0,1460.0,3487.0,0.0
167,1157.0,237.0,261.0,524.0,1330.0,3508.9999999999995,4.547473508864641e-13
168,1344.0,239.0,158.0,644.0,1200.0,3585.0,0.0
169,1275.0,231.0,155.0,608.0,1176.0,3445.0,0.0
170,1147.0,233.0,154.0,569.0,1183.0,3286.0000000000005,-4.547473508864641e-13
171,1129.0,238.0,154.0,562.0,1127.0,3210.0,0.0
172,1122.0,235.0,153.0,556.0,1115.0,3181.0,0.0
173,1130.0,238.0,154.0,494.0,1243.0,3259.0,0.0
174,1207.0,271.0,152.0,605.0,1197.0,3432.0000000000005,-4.547473508864641e-13
175,1299.0,391.0,159.0,640.0,1186.0,3675.0,0.0
176,1329.0,492.0,172.0,630.0,1323.0,3946.0,0.0
177,1208.0,516.0,192.0,634.0,1288.0,3838.0,0.0
178,1306.0,525.0,237.0,683.0,1053.0,3804.0,0.0
179,1367.0,531.0,260.0,684.0,957.0,3799.0,0.0
180,1385.0,528.0,232.0,662.0,1037.0,3844.0,0.0
181,1270.0,457.0,208.0,651.0,1232.0,3818.0,0.0
182,1221.0,363.0,213.0,669.0,1350.0,3816.0,0.0
183,1291.0,434.0,226.0,669.0,1310.0,3930.0,0.0
184,1261.0,505.0,216.0,663.0,1474.0,4119.0,0.0
185,1192.0,519.0,282.0,656.0,1550.0,4199.0,0.0
186,974.0,354.0,337.0,622.0,1772.0,4059.0,0.0
187,814.0,301.0,343.0,596.0,1905.0,3959.0,0.0
188,785.0,244.0,324.0,644.0,2150.0,4147.0,0.0
189,772.0,216.0,224.0,540.0,2217.0,3969.0,0.0
190,570.0,217.0,236.0,531.0,2234.0,3788.0,0.0
191,427.0,219.0,194.0,378.0,2342.0,3560.0,0.0
192,370.0,224.0,189.0,321.0,2273.0,3377.0,0.0
193,379.0,235.0,162.0,329.0,2194.0,3299.0,0.0
194,368.0,223.0,160.0,311.0,2193.0,3255.0,0.0
195,364.0,220.0,159.0,307.0,2097.0,3147.0,0.0
196,368.0,222.0,159.0,312.0,2112.0,3172.9999999999995,4.547473508864641e-13
