,biomass,gas,hydro,nuclear,other_fossil,solar,wind_offshore,wind_onshore,FR -> BE,NL -> BE,demand,BE -> FR,BE -> NL,mismatch
7782,375.13,5039.14,111.78,2001.34,1097.59,0.0,459.97,127.32,245.06,2244.25,11701.579999999996,0.0,0.0,1.8189894035458565e-12
7783,377.87,5083.73,131.25,2000.18,1098.03,24.31,362.18,97.33,385.6,2342.1,11902.579999999996,0.0,0.0,1.8189894035458565e-12
7784,376.23,5049.82,426.71,2000.52,1101.87,118.7,271.42,64.46,268.18,2259.42,11937.329999999998,0.0,0.0,0.0
7785,375.61,5043.04,113.04,1999.93,1093.14,362.45,188.78,54.58,231.37,2342.0,11803.940000000002,0.0,0.0,0.0
7786,378.43,4964.09,4.98,2001.88,1060.68,629.84,126.03,33.16,387.37,2254.33,11840.79,0.0,0.0,0.0
7787,377.77,4811.69,4.21,2001.09,1030.68,765.08,106.74,28.9,379.6,2138.33,11644.089999999998,0.0,0.0,0.0
7788,375.46,4854.6,3.36,2000.38,1050.97,714.63,45.5,31.41,586.73,2070.69,11733.73,0.0,0.0,0.0
7789,374.74,4867.33,2.7,2000.68,1068.94,670.9,22.27,36.19,829.21,1933.64,11806.6,0.0,0.0,0.0
7790,380.08,5011.43,2.7,1999.94,1079.68,467.5,17.62,48.09,1090.02,1846.31,11943.37,0.0,0.0,0.0
7791,377.28,5034.15,7.77,2000.53,1107.2,210.09,12.97,63.38,1177.61,1960.86,11951.84,0.0,0.0,-1.8189894035458565e-12
7792,389.34,5092.5,867.23,2001.61,1126.06,0.0,29.21,82.03,671.75,2199.43,12459.16,0.0,0.0,0.0
7793,398.76,5226.08,1058.71,2001.26,1136.96,0.0,22.23,106.36,165.72,2317.3,12433.380000000001,0.0,0.0,0.0
7794,395.16,5010.43,859.64,2002.22,1143.67,0.0,64.78,128.09,93.69,2251.79,11949.470000000001,0.0,0.0,0.0
7795,392.55,5147.09,179.09,2003.67,1140.73,0.0,122.01,100.69,0.0,2359.11,11403.240000000002,41.7,0.0,7.247535904753022e-13
7796,366.64,4859.35,3.91,2003.31,1118.93,0.0,98.94,91.15,0.0,2368.01,10771.35,138.89,0.0,1.2505552149377763e-12
7797,367.67,4808.58,24.25,2003.74,1096.7,0.0,47.05,84.43,0.0,2466.62,10770.640000000001,128.4,0.0,-3.694822225952521e-13
7798,379.22,4718.07,45.08,2003.27,1103.33,0.0,43.68,84.16,0.0,2435.52,10568.580000000002,243.75,0.0,-1.8189894035458565e-12
7799,376.01,4320.02,3.21,2003.61,1080.58,0.0,94.96,86.41,0.0,2225.92,10110.040000000003,80.68,0.0,-1.5347723092418164e-12
7800,374.57,4549.69,3.13,2003.81,1090.67,0.0,77.34,90.67,100.43,2204.56,10494.869999999999,0.0,0.0,0.0
