,biomass,gas,hydro,lignite,nuclear,other_fossil,solar,wind_onshore,AT -> SI,IT -> SI,demand,SI -> AT,SI -> IT,mismatch
1700,10.2,56.49,868.03,668.83,693.99,13.55,0.08,0.98,0.0,0.0,1119.77,173.46,1018.92,2.2737367544323206e-13
1701,10.21,55.1,865.48,742.98,693.92,9.57,0.08,0.73,0.0,0.0,925.7400000000002,386.48,1065.85,0.0
1702,10.24,61.35,859.95,604.28,694.03,13.72,0.07,0.71,0.0,0.0,630.8200000000002,517.88,1095.65,0.0
1703,10.97,39.22,788.51,519.44,694.09,12.36,0.07,1.44,0.0,0.0,330.1700000000005,690.15,1045.78,0.0
1704,10.95,37.36,695.46,475.09,693.84,12.23,0.08,0.91,0.0,0.0,109.41000000000008,748.14,1068.37,0.0
1705,10.95,35.5,530.26,459.07,693.99,11.71,0.08,1.16,0.0,0.0,-38.97000000000003,754.08,1027.61,0.0
1706,10.96,51.6,513.12,476.41,693.83,11.79,0.08,1.01,0.0,0.0,-70.73000000000025,785.33,1044.2,0.0
1707,10.95,46.94,693.42,536.04,693.57,11.44,0.08,0.94,0.0,0.0,133.1199999999999,871.37,988.89,2.2737367544323206e-13
1708,11.07,50.51,764.15,637.95,693.4,11.27,0.08,0.8,0.0,0.0,329.5300000000002,761.7,1078.0,-2.2737367544323206e-13
1709,11.07,53.13,833.51,716.44,693.31,9.71,2.6,0.6,0.0,0.0,681.06,753.84,885.47,0.0
1710,11.02,51.93,827.14,762.39,692.94,10.68,24.15,0.73,0.0,0.0,1007.6799999999997,301.59,1071.71,2.2737367544323206e-13
1711,10.84,53.41,815.09,743.27,693.6,12.05,67.83,0.38,0.0,0.0,1153.7600000000002,204.14,1038.57,0.0
1712,10.86,56.54,771.8,731.19,695.26,11.24,102.86,0.31,0.0,0.0,1089.6699999999996,402.36,888.03,0.0
1713,10.89,56.04,749.85,702.06,692.8,11.24,126.1,0.27,0.0,0.0,1141.2399999999993,451.31,756.7,2.2737367544323206e-13
1714,10.88,54.51,776.65,681.37,692.98,11.41,132.17,0.2,0.0,0.0,1108.9499999999994,357.01,894.21,2.2737367544323206e-13
1715,10.88,57.07,795.33,682.48,693.3,10.12,121.67,0.33,0.0,0.0,1117.0100000000002,374.3,879.87,0.0
1716,11.02,54.23,822.71,678.24,693.25,10.24,85.62,0.47,0.0,0.0,1041.7799999999993,438.35,875.65,0.0
1717,11.02,62.84,859.29,723.86,693.57,12.05,58.93,0.49,0.0,0.0,1012.2699999999995,518.84,890.94,0.0
1718,11.02,62.16,1021.36,644.8,693.65,11.69,32.46,0.74,0.0,0.0,977.1599999999995,514.24,986.48,2.2737367544323206e-13
1719,11.02,61.83,870.85,777.95,693.49,11.29,12.16,0.47,0.0,0.0,983.0499999999998,483.13,972.88,2.2737367544323206e-13
1720,10.89,62.49,889.74,795.64,693.43,11.57,2.02,0.48,0.0,0.0,1279.5900000000001,364.23,822.44,0.0
1721,10.94,66.21,906.49,793.5,695.75,12.26,0.07,0.16,0.0,0.0,1760.0300000000002,30.059999999999988,695.29,0.0
1722,10.93,60.41,898.6,779.51,696.21,11.93,0.06,0.66,0.7000000000000028,0.0,1706.289999999999,0.0,752.72,2.2737367544323206e-13
1723,10.95,57.86,864.43,757.4,696.19,12.3,0.06,0.9,0.0,0.0,1476.63,172.48999999999998,750.97,0.0
1724,10.93,56.64,864.56,752.55,696.3,13.41,0.06,0.58,0.0,0.0,1103.8699999999994,189.82,1101.34,0.0
1725,10.93,56.07,853.8,688.33,696.36,9.07,0.06,0.38,0.0,0.0,783.1500000000005,296.76,1235.09,0.0
1726,10.9,62.3,706.09,561.43,696.23,13.44,0.05,0.71,0.0,0.0,455.6700000000001,395.02,1200.46,0.0
1727,9.42,39.59,538.24,487.77,696.12,12.77,0.06,0.79,0.0,0.0,59.190000000000055,402.82,1322.75,-2.2737367544323206e-13
1728,9.52,35.41,505.76,438.23,696.23,12.21,0.06,0.76,0.0,0.0,-72.64999999999986,469.28,1301.55,0.0
1729,9.53,35.24,512.25,428.07,696.37,12.01,0.06,0.75,0.0,0.0,-103.20999999999981,520.23,1277.26,-2.2737367544323206e-13
1730,9.52,51.19,577.08,437.76,696.21,12.0,0.06,0.47,0.0,0.0,-106.49999999999977,592.78,1298.01,0.0
1731,9.51,46.81,596.07,436.62,696.05,11.39,0.06,0.49,0.0,0.0,-24.38999999999964,518.35,1303.04,0.0
1732,9.61,50.53,696.74,429.73,696.22,11.77,0.06,0.37,0.0,0.0,203.20000000000005,518.9,1172.93,0.0
1733,9.61,53.68,858.94,569.73,695.68,10.47,2.17,0.59,0.0,0.0,666.9200000000001,481.77,1052.18,-2.2737367544323206e-13
1734,9.56,52.34,886.35,677.05,695.14,10.74,22.71,0.5,0.0,0.0,1043.23,216.11,1095.05,0.0
1735,9.37,53.96,1051.47,625.28,695.08,11.64,48.17,0.24,0.0,0.0,1230.1499999999996,148.89,1116.17,0.0
