,gas,hydro,other_fossil,wind_onshore,DK -> NO,FI -> NO,NL -> NO,SE -> NO,demand,NO -> DK,NO -> FI,NO -> NL,NO -> SE,mismatch
3723,336.42,10055.96,188.75,349.96,0.0,0.0,0.0,0.0,8551.539999999999,1358.84,36.45,141.0,843.26,-9.094947017729282e-13
3724,334.56,13313.98,341.73,361.22,0.0,0.0,0.0,0.0,11412.609999999999,1398.33,34.95,682.0,823.5999999999999,-4.547473508864641e-13
3725,336.2,15284.28,371.82,343.29,0.0,0.0,0.0,0.0,13598.700000000003,1361.18,34.06,706.0,635.65,-4.547473508864641e-13
3726,335.45,15143.7,366.66,339.94,0.0,0.0,0.0,0.0,13225.160000000002,1376.64,34.06,706.0,843.8900000000001,0.0
3727,331.85,15386.8,363.4,349.58,0.0,0.0,0.0,0.0,13228.82,1423.15,34.06,706.0,1039.6,1.3642420526593924e-12
3728,334.61,15632.04,358.19,334.56,0.0,0.0,0.0,0.0,13372.440000000002,1508.99,34.06,706.0,1037.91,-9.094947017729282e-13
3729,334.2,15718.62,0.0,342.39,0.0,0.0,0.0,0.0,13104.660000000003,1485.06,34.06,706.0,1065.43,-9.094947017729282e-13
3730,335.93,15761.42,0.0,313.92,0.0,0.0,0.0,0.0,13079.64,1314.13,34.06,706.0,1277.44,9.094947017729282e-13
3731,335.92,15837.41,0.0,295.42,0.0,0.0,0.0,0.0,13520.550000000001,1211.62,34.06,706.0,996.52,-9.094947017729282e-13
3732,334.36,15459.84,0.0,299.5,0.0,0.0,0.0,0.0,13014.630000000001,1345.05,34.06,706.0,993.96,0.0
3733,335.99,15583.25,316.32,294.41,0.0,0.0,0.0,0.0,13555.94,1432.41,34.06,706.0,801.56,4.547473508864641e-13
3734,339.17,15453.41,336.59,300.35,0.0,0.0,0.0,0.0,13028.280000000002,1525.64,34.06,706.0,1135.54,-1.8189894035458565e-12
3735,333.6,15801.17,335.57,279.73,0.0,0.0,0.0,0.0,13162.98,1531.31,34.06,706.0,1315.72,0.0
3736,334.81,15801.63,335.27,251.56,0.0,0.0,0.0,0.0,12857.470000000001,1531.69,34.06,706.0,1594.05,-9.094947017729282e-13
3737,335.35,16102.19,336.54,230.53,0.0,0.0,0.0,0.0,13142.080000000002,1531.1,34.06,706.0,1591.37,-9.094947017729282e-13
3738,335.47,16039.64,338.25,212.33,0.0,0.0,0.0,0.0,13320.120000000003,1531.3,34.06,706.0,1334.21,0.0
3739,335.3,15593.76,336.73,224.88,0.0,0.0,0.0,0.0,13092.39,1523.04,35.74,706.0,1133.5,-9.094947017729282e-13
3740,335.21,15225.12,335.12,215.88,0.0,0.0,0.0,76.39999999999998,14120.95,1348.54,36.24,682.0,0.0,-9.094947017729282e-13
3741,336.64,13249.62,336.45,198.71,0.0,0.0,0.0,601.9300000000001,13662.7,899.41,36.24,125.0,0.0,-4.547473508864641e-13
3742,334.43,11078.27,322.86,188.41,0.0,0.0,108.0,1019.11,12421.470000000001,591.89,37.72,0.0,0.0,5.684341886080801e-13
3743,334.89,9801.93,321.84,183.43,0.0,0.0,0.0,1225.68,11620.739999999998,200.7,38.33,8.0,0.0,2.5011104298755527e-12
3744,335.05,9219.4,279.12,186.34,0.0,0.0,0.0,1429.35,10950.64,70.29,38.33,390.0,0.0,7.958078640513122e-13
3745,331.79,9157.56,282.41,196.91,0.0,0.0,0.0,1461.39,10679.75,150.98,38.33,561.0,0.0,-4.547473508864641e-13
3746,335.24,9296.03,276.86,186.62,0.0,0.0,0.0,847.3,10153.160000000002,650.56,38.33,100.0,0.0,-5.684341886080801e-13
3747,334.39,10187.05,303.3,202.38,0.0,0.0,0.0,562.81,9725.539999999997,1222.53,35.86,606.0,0.0,-4.547473508864641e-13
3748,335.5,12701.0,321.13,205.58,0.0,0.0,0.0,0.0,11220.869999999999,1520.7,32.88,704.0,84.75999999999999,0.0
3749,334.06,14834.2,321.39,211.91,0.0,0.0,0.0,0.0,12939.65,1532.62,31.43,706.0,491.86,-4.547473508864641e-13
3750,333.0,15414.5,329.25,210.68,0.0,0.0,0.0,0.0,13337.630000000001,1532.56,31.43,706.0,679.8100000000001,-4.547473508864641e-13
3751,329.12,15636.41,327.98,215.06,0.0,0.0,0.0,0.0,13208.73,1532.61,31.43,706.0,1029.8000000000002,0.0
3752,328.65,16108.85,327.36,213.57,0.0,0.0,0.0,0.0,13646.970000000003,1526.61,31.43,706.0,1067.4199999999998,-2.7284841053187847e-12
3753,304.4,16002.0,327.23,210.86,0.0,0.0,0.0,0.0,14055.620000000004,1490.36,31.43,706.0,561.0799999999999,-2.7284841053187847e-12
3754,312.77,15276.66,327.17,219.51,0.0,0.0,0.0,0.0,13739.92,1241.36,31.43,664.0,459.4,4.547473508864641e-13
3755,324.89,14789.65,312.27,231.84,0.0,0.0,0.0,0.0,13558.33,1234.06,31.43,614.0,220.83000000000004,-4.547473508864641e-13
3756,325.23,14623.3,311.24,222.46,0.0,0.0,0.0,0.0,12490.569999999998,1525.85,31.43,704.0,730.38,0.0
3757,324.78,15542.32,310.65,225.03,0.0,0.0,0.0,0.0,13261.23,1530.54,31.43,706.0,873.58,-9.094947017729282e-13
3758,326.12,15672.77,309.96,241.74,0.0,0.0,0.0,0.0,12917.880000000001,1531.71,32.78,706.38,1361.84,-9.094947017729282e-13
