,biomass,gas,hydro,other_fossil,wind_onshore,LT -> LV,demand,LV -> LT,mismatch
1877,94.0,350.0,684.0,94.0,3.0,0.0,377.5,847.5,0.0
1878,93.0,357.0,696.0,94.0,3.0,0.0,436.99999999999994,806.0,0.0
1879,92.0,358.0,709.0,94.0,8.0,0.0,437.0,824.0,0.0
1880,91.0,358.0,635.0,94.0,13.0,0.0,456.5,734.5,0.0
1881,90.0,358.0,619.0,94.0,21.0,0.0,444.5,737.5,0.0
1882,89.0,359.0,615.0,94.0,27.0,0.0,386.5,797.5,0.0
1883,89.0,358.0,609.0,95.0,34.0,0.0,411.0,774.0,0.0
1884,89.0,357.0,602.0,95.0,35.0,0.0,449.0,729.0,0.0
1885,89.0,358.0,595.0,94.0,35.0,0.0,443.5,727.5,0.0
1886,90.0,357.0,597.0,95.0,34.0,0.0,480.5,692.5,0.0
1887,89.0,357.0,634.0,93.0,37.0,0.0,487.0,723.0,0.0
1888,91.0,359.0,626.0,94.0,30.0,0.0,498.0,702.0,0.0
1889,94.0,359.0,625.0,94.0,26.0,0.0,436.0,762.0,0.0
1890,95.0,353.0,757.0,94.0,21.0,0.0,389.5,930.5,0.0
1891,98.0,352.0,627.0,97.0,14.0,0.0,361.0,827.0,0.0
1892,97.0,351.0,229.0,97.0,15.0,0.0,223.99999999999997,565.0,0.0
1893,96.0,352.0,147.0,97.0,10.0,0.0,155.5,546.5,0.0
1894,95.0,351.0,142.0,95.0,7.0,0.0,345.0,345.0,0.0
1895,97.0,383.0,36.0,94.0,10.0,0.0,534.5,85.5,0.0
1896,95.0,385.0,35.0,94.0,8.0,0.0,495.0,122.0,0.0
1897,95.0,385.0,35.0,94.0,6.0,0.0,427.5,187.5,0.0
1898,94.0,386.0,35.0,94.0,5.0,0.0,438.0,176.0,0.0
1899,94.0,385.0,38.0,94.0,4.0,0.0,472.5,142.5,0.0
1900,94.0,385.0,286.0,94.0,3.0,0.0,397.5,464.5,0.0
1901,94.0,386.0,517.0,94.0,1.0,0.0,462.5,629.5,0.0
1902,94.0,393.0,610.0,94.0,0.0,0.0,389.5,801.5,0.0
1903,96.0,394.0,683.0,96.0,0.0,0.0,468.5,800.5,0.0
1904,93.0,394.0,607.0,94.0,0.0,0.0,481.5,706.5,0.0
1905,91.0,393.0,606.0,94.0,0.0,0.0,449.5,734.5,0.0
1906,91.0,393.0,591.0,94.0,2.0,0.0,458.0,713.0,0.0
1907,89.0,392.0,599.0,94.0,9.0,0.0,493.5,689.5,0.0
1908,89.0,392.0,607.0,94.0,18.0,0.0,530.0,670.0,0.0
1909,89.0,391.0,498.0,94.0,26.0,0.0,479.0,619.0,0.0
1910,89.0,391.0,509.0,95.0,24.0,0.0,534.0,574.0,0.0
1911,91.0,391.0,506.0,97.0,18.0,0.0,511.99999999999994,591.0,0.0
1912,90.0,391.0,503.0,97.0,24.0,0.0,507.5,597.5,0.0
1913,90.0,391.0,504.0,97.0,27.0,0.0,502.5,606.5,0.0
1914,91.0,392.0,495.0,95.0,30.0,0.0,542.5,560.5,0.0
1915,91.0,391.0,372.0,95.0,24.0,0.0,457.0,516.0,0.0
1916,91.0,385.0,126.0,95.0,21.0,0.0,303.0,415.0,0.0
1917,90.0,384.0,30.0,94.0,22.0,0.0,276.0,344.0,0.0
1918,90.0,374.0,33.0,94.0,17.0,0.0,463.00000000000006,145.0,-5.684341886080802e-14
1919,89.0,334.0,35.0,94.0,22.0,0.0,401.5,172.5,0.0
1920,91.0,334.0,35.0,93.0,18.0,0.0,358.5,212.5,0.0
1921,92.0,333.0,35.0,93.0,17.0,0.0,376.5,193.5,0.0
1922,92.0,332.0,35.0,93.0,13.0,0.0,377.0,188.0,0.0
1923,95.0,332.0,37.0,93.0,12.0,0.0,378.5,190.5,0.0
1924,95.0,332.0,187.0,93.0,10.0,0.0,472.50000000000006,244.5,-5.684341886080802e-14
1925,95.0,333.0,271.0,93.0,9.0,0.0,555.0,246.0,0.0
1926,94.0,341.0,517.0,94.0,12.0,0.0,528.0,530.0,0.0
1927,90.0,341.0,621.0,93.0,17.0,0.0,557.5,604.5,0.0
1928,87.0,341.0,623.0,93.0,21.0,0.0,588.0,577.0,0.0
1929,86.0,341.0,630.0,93.0,25.0,0.0,531.5,643.5,0.0
1930,86.0,341.0,622.0,93.0,29.0,0.0,531.0,640.0,0.0
1931,85.0,341.0,630.0,93.0,31.0,0.0,543.0,637.0,0.0
1932,85.0,341.0,713.0,93.0,33.0,0.0,597.0,668.0,0.0
1933,85.0,340.0,713.0,93.0,31.0,0.0,584.5,677.5,0.0
1934,87.0,340.0,714.0,93.0,25.0,0.0,566.0,693.0,0.0
1935,88.0,341.0,707.0,93.0,20.0,0.0,543.0,706.0,0.0
1936,91.0,341.0,778.0,93.0,19.0,0.0,424.0,898.0,0.0
1937,97.0,341.0,900.0,95.0,21.0,0.0,506.0,948.0,0.0
1938,95.0,334.0,717.0,94.0,16.0,0.0,430.5,825.5,0.0
1939,92.0,332.0,532.0,94.0,15.0,0.0,444.5,620.5,0.0
1940,92.0,332.0,440.0,94.0,12.0,0.0,411.0,559.0,0.0
1941,92.0,332.0,377.0,94.0,10.0,0.0,288.0,617.0,0.0
1942,91.0,332.0,153.0,94.0,9.0,0.0,346.0,333.0,0.0
1943,89.0,371.0,143.0,93.0,6.0,0.0,436.00000000000006,266.0,-5.684341886080802e-14
1944,88.0,371.0,142.0,93.0,2.0,0.0,414.49999999999994,281.5,5.684341886080802e-14
1945,88.0,372.0,141.0,93.0,3.0,0.0,565.0,132.0,0.0
1946,88.0,372.0,140.0,93.0,2.0,0.0,557.0,138.0,0.0
1947,88.0,371.0,229.0,93.0,2.0,0.0,427.0,356.0,0.0
1948,89.0,372.0,368.0,93.0,0.0,0.0,411.0,511.0,0.0
1949,91.0,373.0,597.0,93.0,0.0,0.0,370.0,784.0,0.0
1950,94.0,416.0,723.0,93.0,0.0,0.0,662.0000000000001,664.0,-1.1368683772161603e-13
1951,94.0,444.0,697.0,93.0,1.0,0.0,711.5,617.5,0.0
1952,95.0,444.0,710.0,93.0,0.0,0.0,753.0,589.0,0.0
1953,96.0,444.0,696.0,93.0,0.0,0.0,749.5,579.5,0.0
1954,93.0,443.0,621.0,93.0,1.0,0.0,675.5,575.5,0.0
1955,88.0,409.0,620.0,93.0,1.0,0.0,583.0,628.0,0.0
1956,86.0,408.0,572.0,93.0,2.0,0.0,573.0,588.0,0.0
1957,85.0,409.0,562.0,93.0,2.0,0.0,577.5,573.5,0.0
1958,85.0,409.0,559.0,94.0,2.0,0.0,583.0,566.0,0.0
1959,87.0,409.0,556.0,94.0,1.0,0.0,544.5,602.5,0.0
1960,88.0,409.0,542.0,94.0,0.0,0.0,497.99999999999994,635.0,0.0
1961,90.0,409.0,543.0,94.0,0.0,0.0,526.0,610.0,0.0
1962,91.0,408.0,431.0,94.0,1.0,0.0,508.50000000000006,516.5,0.0
1963,91.0,406.0,316.0,94.0,2.0,0.0,582.0,327.0,0.0
1964,93.0,372.0,367.0,94.0,2.0,0.0,549.5,378.5,0.0
1965,93.0,370.0,239.0,94.0,3.0,0.0,393.0,406.0,0.0
1966,95.0,369.0,0.0,95.0,3.0,0.0,250.0,312.0,0.0
1967,95.0,321.0,0.0,94.0,5.0,0.0,407.5,107.5,0.0
1968,95.0,321.0,0.0,94.0,7.0,0.0,338.5,178.5,0.0
1969,95.0,321.0,0.0,94.0,8.0,0.0,391.5,126.5,0.0
1970,95.0,322.0,0.0,94.0,8.0,0.0,442.00000000000006,77.0,-5.684341886080802e-14
1971,97.0,323.0,0.0,94.0,7.0,0.0,417.5,103.5,0.0
1972,97.0,324.0,6.0,94.0,6.0,0.0,400.5,126.5,0.0
1973,96.0,325.0,51.0,94.0,6.0,0.0,420.99999999999994,151.0,5.684341886080802e-14
1974,94.0,323.0,85.0,93.0,2.0,0.0,507.00000000000006,90.0,-5.684341886080802e-14
1975,91.0,324.0,298.0,93.0,1.0,0.0,579.5,227.5,0.0
1976,88.0,322.0,318.0,93.0,1.0,0.0,547.0,275.0,0.0
1977,85.0,319.0,318.0,92.0,7.0,0.0,565.5,255.5,0.0
1978,84.0,292.0,351.0,92.0,17.0,0.0,638.0,198.0,0.0
1979,83.0,292.0,401.0,92.0,28.0,0.0,605.0,291.0,0.0
