,biomass,gas,hydro,other_fossil,solar,wind_onshore,LV -> LT,PL -> LT,SE -> LT,demand,LT -> LV,LT -> PL,LT -> SE,mismatch
134,51.86,46.12,132.38,38.05,0.0,128.0,854.0,0.0,420.2,1184.94,0.0,485.67,0.0,5.684341886080802e-14
135,51.94,46.11,156.33,38.29,0.0,113.06,926.5,0.0,296.2,1173.89,0.0,454.54,0.0,-5.684341886080802e-14
136,51.82,46.07,140.05,37.71,0.0,99.17,928.0,0.0,244.5,1105.12,0.0,442.2,0.0,5.684341886080802e-14
137,51.85,46.06,100.92,37.12,0.0,90.51,877.0,0.0,262.7,980.1700000000001,0.0,485.99,0.0,0.0
138,51.78,46.08,96.56,36.67,0.0,77.3,893.5,0.0,169.3,885.22,0.0,485.97,0.0,0.0
139,51.79,46.23,162.7,37.14,0.0,64.68,921.5,0.0,57.0,855.1700000000001,0.0,485.87,0.0,-1.1368683772161603e-13
140,51.59,46.3,85.65,37.49,0.0,65.47,865.0,0.0,117.2,783.6600000000001,0.0,485.04,0.0,-5.684341886080802e-14
141,51.41,46.26,53.52,37.64,0.0,84.95,632.5,0.0,3.5,590.8299999999999,0.0,318.95,0.0,5.684341886080802e-14
142,50.82,46.31,74.01,36.92,0.0,111.07,697.5,0.0,2.5,587.36,0.0,431.77,0.0,0.0
143,50.72,46.4,58.13,37.6,0.0,135.01,692.0,0.0,0.0,602.5100000000001,0.0,415.85,1.5,-1.1368683772161603e-13
144,50.76,46.38,33.19,38.01,0.0,179.89,658.5,0.0,0.0,647.7,0.0,139.13,219.9,0.0
145,50.89,46.47,33.03,37.66,0.0,151.87,695.5,0.0,0.0,934.2699999999999,0.0,0.65,80.5,8.526512829121202e-14
146,50.87,46.49,33.04,37.82,0.0,154.11,700.0,0.0,0.0,937.2300000000001,0.0,0.0,85.1,-8.526512829121202e-14
147,51.2,46.52,33.06,38.47,0.0,148.99,675.0,0.0,0.0,688.1500000000001,0.0,0.09,305.0,-5.684341886080802e-14
148,51.64,46.75,33.06,37.88,0.0,144.09,713.5,0.0,0.0,726.5,0.0,0.42,300.0,5.684341886080802e-14
149,51.87,47.15,33.04,37.27,0.0,139.48,665.0,0.0,0.0,847.94,0.0,0.27,125.6,-9.947598300641403e-14
150,51.87,47.4,33.04,100017.53,0.0,139.48,642.0,0.0,0.0,100782.93999999999,0.0,0.48,147.9,4.661160346586257e-12
151,52.62,47.36,96.55,37.44,2.54,154.6,591.0,0.0,0.0,955.3799999999998,0.0,0.63,26.1,1.3145040611561853e-13
152,52.72,47.32,96.51,37.09,5.79,147.41,584.0,0.0,179.6,997.15,0.0,153.29,0.0,8.526512829121202e-14
153,52.72,47.33,96.52,37.33,6.9,86.54,530.5,0.0,632.9,1007.53,0.0,483.21,0.0,5.684341886080802e-14
154,52.61,47.29,96.54,37.58,6.52,48.68,523.0,0.0,698.0,1023.5299999999999,0.0,486.69,0.0,1.7053025658242404e-13
155,52.48,47.44,96.54,36.59,9.68,47.2,528.5,0.0,671.8,1003.51,0.0,486.72,0.0,0.0
156,52.51,47.83,96.54,36.38,6.48,58.55,546.5,0.0,659.1,1017.1899999999998,0.0,486.7,0.0,5.684341886080802e-14
157,52.61,47.67,96.55,37.24,0.4,58.34,543.0,0.0,646.9,996.02,0.0,486.69,0.0,5.684341886080802e-14
158,52.67,47.36,96.54,37.39,0.0,70.68,562.5,0.0,628.9,1009.3,0.0,486.74,0.0,0.0
159,52.81,47.35,96.55,37.69,0.0,106.48,597.0,0.0,649.7,1100.94,0.0,486.64,0.0,-1.1368683772161603e-13
160,53.14,47.35,96.51,38.08,0.0,152.5,593.0,0.0,645.8,1139.7099999999998,0.0,486.67,0.0,5.684341886080802e-14
161,53.28,47.32,96.49,38.27,0.0,240.73,665.5,0.0,429.0,1083.91,0.0,486.68,0.0,-1.7053025658242404e-13
162,53.23,47.36,96.52,38.64,0.0,326.03,612.5,0.0,410.9,1098.4799999999998,0.0,486.7,0.0,5.684341886080802e-14
163,53.11,47.35,96.51,38.17,0.0,383.85,669.0,0.0,216.1,1017.2200000000001,0.0,486.87,0.0,0.0
164,52.99,47.34,55.22,38.05,0.0,417.47,707.5,0.0,72.7,904.4000000000001,0.0,486.87,0.0,-1.1368683772161603e-13
165,52.53,47.33,40.2,37.57,0.0,430.04,667.5,0.0,0.0,738.1100000000001,0.0,487.06,50.0,0.0
166,52.46,47.34,35.65,38.01,0.0,435.21,625.5,0.0,0.0,710.6000000000001,0.0,485.07,38.5,0.0
167,51.3,47.34,32.97,38.89,0.0,431.11,668.5,0.0,0.0,835.1700000000001,0.0,71.54,363.4,5.684341886080802e-14
168,52.28,47.31,32.95,39.13,0.0,442.96,831.0,0.0,0.0,873.1000000000001,0.0,209.93,362.6,0.0
169,52.4,47.38,32.95,39.12,0.0,414.53,854.0,0.0,0.0,936.8900000000001,0.0,118.99,384.5,0.0
170,52.38,47.35,32.93,38.54,0.0,366.68,839.0,0.0,0.0,720.1400000000001,0.0,260.64,396.1,0.0
171,52.48,47.37,33.12,38.55,0.0,303.56,835.5,0.0,0.0,823.0699999999999,0.0,99.01,388.5,0.0
172,52.9,47.32,33.14,37.94,0.0,249.18,912.5,0.0,0.0,963.3,0.0,351.38,18.3,5.684341886080802e-14
173,52.98,47.64,62.74,37.49,0.0,216.46,1033.0,0.0,0.0,1069.35,0.0,377.16,3.8,0.0
174,52.79,47.84,152.57,36.99,0.15,185.87,1086.0,0.0,43.2,1119.3,0.0,486.11,0.0,1.1368683772161603e-13
175,52.56,47.27,449.06,36.99,2.15,188.15,1061.0,0.0,0.0,1204.4899999999998,0.0,486.89,145.8,0.0
176,52.55,47.28,384.51,37.34,7.48,192.79,1046.5,0.0,0.0,1190.8799999999997,0.0,486.87,90.7,1.1368683772161603e-13
177,52.26,47.37,296.41,38.01,9.58,168.16,1023.0,0.0,0.0,1137.8899999999999,0.0,486.9,10.0,1.1368683772161603e-13
178,52.57,47.76,316.77,37.94,9.51,169.43,1045.0,0.0,0.0,1107.1600000000003,0.0,486.82,85.0,-2.2737367544323206e-13
179,52.67,47.88,287.66,38.26,8.38,181.77,984.0,0.0,0.0,1090.54,0.0,486.88,23.2,-5.684341886080802e-14
