,biomass,gas,hard_coal,hydro,lignite,nuclear,other_fossil,other_renewable,solar,wind_onshore,AT -> CZ,DE -> CZ,PL -> CZ,SK -> CZ,demand,CZ -> AT,CZ -> DE,CZ -> PL,CZ -> SK,mismatch
6890,202.38,135.12,334.76,96.19,4063.57,3450.1,230.68,267.31,0.0,151.84,0.0,71.10000000000002,412.66,0.0,6034.630000000002,2113.8,0.0,0.0,1267.28,-9.094947017729282e-13
6891,203.19,234.28,335.4,108.98,4435.52,3453.49,236.26,266.39,0.0,148.42,0.0,449.06,540.8,0.0,6961.390000000002,2025.9,0.0,0.0,1424.5,-1.3642420526593924e-12
6892,203.79,526.45,383.42,158.16,4906.53,3456.21,256.75,269.84,2.6,140.99,0.0,187.16000000000008,280.92,0.0,7296.6900000000005,1995.4,0.0,0.0,1480.73,9.094947017729282e-13
6893,203.72,869.15,446.62,594.69,5047.74,3456.94,258.17,273.73,23.31,140.95,0.0,183.6500000000001,206.79,0.0,8063.730000000001,2157.4,0.0,0.0,1484.33,-4.547473508864641e-13
6894,202.62,936.73,485.66,546.24,5102.06,3457.5,262.9,274.85,250.16,129.36,0.0,74.99000000000001,199.06,0.0,8130.93,2268.3,0.0,0.0,1522.9,4.547473508864641e-13
6895,204.2,923.06,481.17,550.73,5114.54,3459.65,259.87,276.43,584.71,117.97,0.0,126.70000000000005,173.35,0.0,8315.65,2318.5,0.0,0.0,1638.23,-4.547473508864641e-13
6896,203.28,879.72,478.73,384.33,5023.86,3456.75,261.02,274.41,858.96,113.36,0.0,175.85000000000002,186.84,0.0,8489.910000000002,2218.0,0.0,0.0,1589.2,9.094947017729282e-13
6897,202.94,843.9,480.79,100.63,5004.33,3450.93,249.21,272.11,1045.72,115.96,0.0,614.1800000000001,379.09,0.0,9110.89,2051.4,0.0,0.0,1597.5,-4.547473508864641e-13
6898,201.76,760.23,448.96,97.26,4997.2,3449.03,245.53,268.69,1133.17,109.23,0.0,663.3399999999999,366.59,0.0,9033.410000000002,2091.1,0.0,0.0,1616.48,0.0
6899,202.9,780.06,477.02,95.96,4987.04,3442.68,244.66,267.97,1036.0,109.34,0.0,597.9800000000001,323.68,0.0,8962.31,2021.0,0.0,0.0,1581.98,-4.547473508864641e-13
6900,203.37,690.82,473.99,95.6,5044.29,3438.24,242.13,268.05,821.84,104.4,0.0,448.39,277.04,0.0,8272.229999999998,2136.1,0.0,0.0,1699.83,4.547473508864641e-13
6901,203.53,852.16,489.21,104.36,5143.19,3434.07,245.35,270.89,548.93,101.42,0.0,439.51,319.93,0.0,8246.45,2249.3,0.0,0.0,1656.8,0.0
