,hydro,lignite,wind_onshore,demand,s_l,s_r
99,0.0,117.57502224318837,0.0,313.0,317.02,0.0
100,0.0,178.48,0.0,318.0,301.55,0.0
101,0.0,203.94,0.0,342.0,285.13,0.0
102,0.0,207.52,0.0,380.0,1.3240838852760368,0.0
103,211.0,207.79,0.0,425.0,119.32436043797247,0.0
104,211.71,206.25,0.0,450.0,214.44552025606438,0.0
105,211.38,117.73663672738265,0.0,460.0,202.48,0.0
106,121.22414466676918,206.86,0.0,459.0,180.85999999999999,0.0
107,211.28,207.63,0.0,206.03355601942093,189.11000000000004,0.0
108,26.068812546025534,206.42,0.0,444.0,44.61086877168152,0.0
109,158.47176235448384,206.69,0.0,441.0,132.23369253522299,0.0
110,211.46,172.54076431220983,0.0,173.18091262635045,181.89,0.0
111,112.38132891457558,61.824997032154215,0.0,468.0,211.30000000000004,0.0
112,260.88,35.06353745068902,0.0,326.29938752172757,179.3,0.0
113,257.94,205.92,0.0,128.59831314439455,140.02999999999997,0.0
114,209.24,206.75,0.0,502.0,7.1927238265451905,0.0
115,0.0,207.02,0.0,488.0,122.53439443787599,0.0
116,0.0,206.64,0.0,476.0,290.06,0.0
117,0.0,207.02,0.0,217.96221188476815,2.3656951284072396,0.0
118,0.0,72.92880679477575,0.0,446.0,179.28352552222614,0.0
119,0.0,181.06,0.0,410.0,120.76826701852514,0.0
120,0.0,178.42,0.0,372.0,209.23000000000002,0.0
121,0.0,178.09,0.0,337.0,156.12598730186085,0.0
122,0.0,24.345930204223883,0.0,45.10120109550475,212.10000000000002,0.0
123,0.0,134.11968942736777,0.0,307.0,209.67000000000002,0.0
124,0.0,179.14,0.0,319.0,222.18,0.0
125,0.0,205.65,0.0,117.22474852983024,240.5,0.0
126,0.0,207.57,0.0,367.0,10.92362581709922,0.0
127,0.0,18.517884937846375,0.0,406.0,252.32,0.0
128,0.0,206.69,0.0,435.0,257.09000000000003,0.0
129,0.0,206.86,0.0,452.0,253.92,0.0
130,0.0,207.3,0.0,452.0,64.937596917856,0.0
131,0.0,205.81,0.0,451.0,157.37807265265948,0.0
132,0.0,206.64,0.0,446.0,233.14518399868513,0.0
133,0.0,207.19,0.0,447.0,106.09668821042385,0.0
134,0.0,206.97,0.0,450.0,245.55,0.0
135,0.0,30.12787839373421,0.0,472.0,308.88,0.0
136,0.0,112.48225934794513,0.0,479.0,299.85,0.0
137,0.0,206.31,0.0,117.45676960031967,5.363406696669127,0.0
138,0.0,207.3,0.0,470.0,163.09591322772891,0.0
139,0.0,206.8,0.0,51.635263613713626,222.87,0.0
140,0.0,207.13,0.0,209.4003132727587,1.9406774694665812,0.0
141,0.0,195.06882550113787,0.0,436.0,190.50974393799927,0.0
142,0.0,104.91271923531649,0.0,426.0,116.38843233237608,0.0
143,0.0,178.97,0.0,399.0,209.46,0.0
144,0.0,177.54,0.0,356.0,84.42581182200126,0.0
145,0.0,177.38,0.0,323.0,146.6,0.0
146,0.0,14.029313579589378,0.0,305.0,123.1,0.0
147,0.0,155.56741384339048,0.0,298.0,118.91000000000003,0.0
148,0.0,176.66,0.0,311.0,72.95884463664305,0.0
149,0.0,203.78,0.0,333.0,196.82999999999998,0.0
150,0.0,206.03,0.0,358.0,249.73000000000002,0.0
151,0.0,103.10949951952995,0.0,388.0,322.12,0.0
152,0.0,204.16,0.0,132.35190776633064,347.3,0.0
153,0.0,207.19,0.0,412.0,385.52,0.0
154,0.0,202.57,0.0,406.0,386.65999999999997,0.0
155,0.0,204.55,0.0,392.0,347.23,0.0
156,0.0,158.99231977511062,0.0,363.3133867834814,276.56,0.0
157,0.0,206.47,0.0,149.4419873359908,256.09000000000003,0.0
158,0.0,206.25,0.0,369.0,169.37165925355816,0.0
159,0.0,197.1476852436494,0.0,135.91471436861136,327.47,0.0
160,0.0,71.7571797787978,0.0,422.0,349.15,0.0
161,0.0,206.53,0.0,429.0,328.38,0.0
162,0.0,186.938099036768,0.0,430.0,259.7175678532008,0.0
