,biomass,gas,hard_coal,hydro,nuclear,other_fossil,solar,wind_offshore,wind_onshore,demand,s_l,s_r
52,660.9791796083632,6907.0,1060.0,303.47650551309397,6865.0,5.117315438734071,0.0,3320.0,5732.0,30101.49,2908.079137496327,0.0
53,680.0,682.2662012764621,896.0,260.2313028573393,6850.0,92.0,0.0,3511.0,5515.0,31480.9,770.3797251532089,0.0
54,680.0,8004.862709921134,977.0,339.0,1619.4426512518714,92.0,0.0,252.371769856415,5536.0,37121.9,7008.050000000003,0.0
55,680.0,13638.0,1114.0,532.0,6848.0,17.91569007430744,0.0,3394.0,1049.3358713752293,11229.932796508627,7768.702343565564,0.0
56,679.0,4490.10129764767,978.0,730.0,6842.0,92.0,16.0,2317.3860036585274,5542.0,47554.39,9203.529999999999,0.0
57,48.37670619490638,17897.0,1204.0,862.0,1415.0251547535013,91.0,394.880164386914,3680.0,5830.0,49485.47,8720.5,0.0
58,671.0,17909.0,392.052706813033,974.0,6928.0,91.0,1415.0,581.187634831061,537.3193324705916,49474.52,7642.25,0.0
59,680.0,17750.0,1236.0,808.0,3158.3350496888847,92.0,1785.0,1209.1674693351129,6158.0,49381.33,5956.725974563781,0.0
60,253.26146055418417,18017.0,1300.0,892.0,6985.0,37.58446792728752,2010.0,2283.792600606408,5968.0,49632.53,5271.853998326836,0.0
61,341.54726843659546,18078.0,1335.0,782.0,7005.0,92.0,1162.4954361093262,3791.0,4694.374197503422,49420.871842358705,4473.36411712098,0.0
62,68.99917257699774,18432.0,1326.0,886.0,2050.5344380134225,91.0,772.0,898.203932125471,287.4761923897771,17493.241359757754,8423.370000000003,0.0
63,22.31797833741464,19202.0,1709.4119514557678,738.0,7122.0,91.0,102.0,3808.0,5697.0,51862.7,6735.345005781203,0.0
64,615.0,21218.0,1989.0,1030.0,7126.0,91.0,7.0,3784.0,5646.0,55297.59,10746.559999999998,0.0
65,668.0,23081.0,267.31427393031885,1897.0,7130.0,91.0,4.918461418835429,3813.0,1251.0505725635949,51006.84885622969,10513.75,0.0
66,369.19596249975683,21024.1147017691,2187.0,1578.0,7134.0,0.1279399217830396,0.0,409.46765837614197,5108.0,38001.73115223338,9779.5,0.0
67,210.3199623691791,22088.0,1770.0,1179.0,7126.0,102.0,0.0,1383.7967894710418,4624.092680079475,28760.741460269463,9160.700000000004,0.0
68,476.69122968255454,20047.0,81.18881158411327,49.5673865607887,5348.14784044304,101.65408813401272,0.0,3802.0,5011.0,15503.121615762308,7185.594921485095,0.0
69,652.0,16779.0,18.468644153947594,860.0,7129.0,80.72006101180669,0.0,3788.0,587.9664701888512,40786.77553126079,7067.450000000004,0.0
70,40.44866178564023,12931.0,1202.0,886.0,7136.0,91.0,0.0,2024.7313788062518,4542.0,36972.22452273499,6159.730000000003,0.0
71,682.0,2717.3422230666847,876.386243641717,436.0,7128.0,90.45862452407914,0.0,3672.0,4005.0,35973.47,5388.190000000002,0.0
72,75.16482403468507,10801.0,1286.0,418.0,7130.0,77.9463546736873,0.0,2592.1772041947443,3205.0,14281.454301510834,5159.470000000001,0.0
73,631.3871326312054,498.04759413420004,1130.200582453744,412.0,28.985137235697934,91.0,0.0,1761.1638337322854,2684.0,35025.88,5350.919999999998,0.0
74,614.0,7819.912946605466,844.0250914299828,349.2689407222475,7117.0,91.0,0.0,3232.0,2113.0,9168.359371670496,5523.059999999998,0.0
75,95.45918656443335,11560.0,1247.0,314.0,7100.0,91.0,0.0,2925.0,1763.0,33775.67,5087.949999999997,0.0
76,682.0,2727.3182971476854,1276.0,16.84007933400097,7134.0,90.0,0.0,2267.0,1734.0,33614.23,3861.4566370732105,0.0
77,681.0,12680.0,1457.0,332.0,7127.0,90.0,0.0,2118.0,1752.0,35418.26,6166.230000000003,0.0
78,680.0,12425.015632983826,744.463708500393,364.0,7133.0,35.02701019544857,0.0,220.99132762799425,1210.1669840973059,41076.27,9337.469999999998,0.0
