,biomass,gas,hydro,nuclear,other_fossil,solar,wind_offshore,wind_onshore,demand,s_l,s_r
104,353.52,1832.59,129.67,4947.19,1072.87,64.98,554.79,491.63,11646.0,0.0,30.01000000000022
105,340.67,1930.99,529.58,4946.43,1072.07,163.66,281.01,381.18,11698.0,0.0,143.51000000000022
106,348.91,1882.64,381.48,4946.62,1074.17,251.24,380.67,293.03,11742.0,0.0,105.8700000000008
107,369.59,1914.68,654.39,4945.58,1075.61,286.21,230.04,292.97,11668.0,0.0,69.07999999999993
108,369.26,1834.34,263.58,4945.44,1070.71,285.99,533.23,293.3,11531.0,0.0,68.77999999999702
109,367.58,2149.99,171.2,4943.9,1064.39,205.34,250.44,419.57,11335.0,0.0,54.02000000000044
110,373.95,2285.61,58.14,4944.0,1081.75,100.3,511.56,483.61,11322.0,0.0,20.80000000000001
111,372.08,2297.82,270.855,4947.08,1075.22,17.61,714.98,507.85,11439.0,0.0,225.0150000000005
112,374.29,2413.92,483.72,4947.31,1060.74,0.0,762.1,458.17,11994.0,113.85999999999768,0.0
113,374.23,2379.58,465.39,4947.06,1021.58,0.0,782.76,505.48,11921.0,196.92000000000007,0.0
114,370.07,2359.08,326.69,4949.25,902.8,0.0,753.67,583.46,11474.0,225.2399999999995,0.0
115,366.24,1809.79,9.74,4951.15,836.13,0.0,767.02,627.74,10885.0,0.0,50.94999999999891
116,367.62,1594.8,9.7,4951.81,806.2,0.0,692.72,561.01,10352.0,67.86999999999898,0.0
117,366.29,1683.68,9.68,4951.11,825.73,0.0,485.53,533.92,10606.0,88.96999999999935,0.0
118,366.52,1717.23,58.92,4950.04,928.55,0.0,283.58,492.4,10645.0,80.56999999999971,0.0
119,365.82,1614.58,9.16,4949.22,917.74,0.0,262.81,390.6,10009.0,0.0,135.95000000000073
120,368.7,1603.6,9.09,4949.6,909.83,0.0,167.09,389.19,9449.0,0.0,456.85000000000036
121,370.25,1655.73,9.1,4949.87,879.56,0.0,118.11,416.11,9140.0,0.0,1073.9899999999998
122,370.79,1702.3,8.91,4949.34,894.3,0.0,37.25,288.0,8861.0,0.0,1136.1499999999992
123,371.86,1625.75,8.79,4953.16,907.06,0.0,3.37,257.35,8706.0,0.0,1088.6899999999996
124,371.11,1655.55,8.66,4955.76,863.93,0.0,4.3,274.03,8738.0,0.0,612.3299999999995
125,367.53,1650.61,8.66,4958.57,881.71,0.0,5.23,198.15,9012.0,0.0,583.8600000000001
126,369.75,1623.46,10.14,4955.1,909.14,0.0,6.16,130.87,9223.0,0.0,347.4900000000016
127,367.98,1560.74,10.09,4955.38,968.15,0.05,16.91,90.84,9753.0,0.0,267.1900000000005
128,367.15,1749.84,96.62,4957.7,1018.67,29.0,14.2,72.36,10231.0,0.0,268.40000000000146
129,367.51,1756.38,239.08,4954.53,1032.73,103.86,33.71,43.19,10626.0,0.0,291.869999999999
130,363.76,1742.95,249.39,4952.6,1058.44,164.51,21.52,35.97,10733.0,0.0,274.22000000000116
131,360.21,1793.98,284.09,4953.12,1063.29,178.61,14.37,23.43,10775.0,0.0,231.5600000000013
132,363.09,1732.53,181.61,4950.45,1066.8,170.41,21.21,22.36,10603.0,0.0,316.8299999999981
133,365.24,1699.12,56.47,4949.66,1025.5,124.83,133.47,24.56,10358.0,0.0,289.60999999999876
134,372.81,1731.7,143.235,4950.21,993.39,66.97,249.76,26.03,10344.0,0.0,408.13500000000204
135,376.05,1744.96,229.49,4951.24,1006.99,8.58,393.85,45.79,10422.0,0.0,280.8500000000016
136,375.15,1744.22,514.71,4950.4,1000.86,0.0,667.38,108.09,10982.0,0.0,198.75999999999885
137,372.4,1639.4,454.92,4950.35,916.11,0.0,779.65,152.44,11003.0,0.0,48.210000000000946
138,372.61,1692.52,318.63,4950.76,894.17,0.0,807.13,181.29,10620.0,72.81999999999971,0.0
139,373.85,1713.35,197.93,4949.66,880.09,0.0,801.73,232.55,10170.0,66.08000000000175,0.0
