,biomass,gas,hard_coal,hydro,lignite,nuclear,other_fossil,other_renewable,solar,wind_offshore,wind_onshore,demand,s_l,s_r
7846,4833.0,8374.0,13457.0,1532.0,15589.0,9372.0,1455.0,131.0,0.0,84.0,5086.0,56779.8061,2064.4861,0.0
7847,4818.0,7112.0,13266.0,1972.0,15281.0,9375.0,1453.0,131.0,0.0,87.0,4898.0,53621.398,2276.8279999999995,0.0
7848,4808.0,7073.0,12867.0,1522.0,14702.0,9382.0,1456.0,131.0,0.0,167.0,4583.0,51430.6429,1555.0629000000008,0.0
7849,4803.0,7083.0,12442.0,1469.0,14621.0,9380.0,1450.0,131.0,0.0,240.0,4301.0,50039.6939,0.0,442.09610000000066
7850,4805.0,7137.0,12125.0,1451.0,14454.0,9372.0,1450.0,131.0,0.0,225.0,4234.0,50027.9796,0.0,500.7703999999994
7851,4804.0,7193.0,12481.0,1400.0,14482.0,9376.0,1465.0,131.0,0.0,187.0,4233.0,50138.5816,0.0,858.4784000000036
7852,4809.0,6999.0,12495.0,1390.0,14435.0,9379.0,1458.0,131.0,0.0,222.0,4067.0,50120.6633,260.8332999999966,0.0
7853,4825.0,7417.0,12776.0,1387.0,14491.0,9384.0,1461.0,131.0,0.0,369.0,3909.0,51412.9898,2039.4798000000028,0.0
7854,4838.0,8233.0,13677.0,1739.0,14768.0,9381.0,1463.0,131.0,11.0,419.0,3696.0,54559.949,3433.1490000000013,0.0
7855,4845.0,8847.0,14108.0,2332.0,14994.0,9386.0,1462.0,131.0,353.0,605.0,3631.0,58378.4898,4385.869800000003,0.0
7856,4851.0,8926.0,14091.0,3061.0,15012.0,9390.0,1465.0,131.0,1317.0,672.0,3883.0,61126.9286,3983.518599999996,0.0
7857,4850.0,8951.0,14010.0,3427.0,15037.0,9388.0,1460.0,131.0,2266.0,811.0,3915.0,62626.2245,4183.674499999999,0.0
7858,4853.0,8942.0,13925.0,3796.0,15040.0,9390.0,1268.0,131.0,3159.0,904.0,3850.0,63424.0204,4292.1003999999975,0.0
7859,4852.0,8929.0,13787.0,3324.0,15042.0,9384.0,1201.0,131.0,3467.0,897.0,3504.0,62669.4898,4390.269800000007,0.0
7860,4847.0,8935.0,13789.0,1707.0,15121.0,9372.0,1295.0,131.0,2970.0,845.0,3318.0,60987.8469,4310.966899999997,0.0
7861,4838.0,8979.0,13870.0,1627.0,15175.0,9363.0,1307.0,131.0,2004.0,1009.0,3238.0,59917.7959,4450.165899999995,0.0
7862,4860.0,8993.0,13698.0,2311.0,15174.0,9361.0,1307.0,131.0,748.0,1272.0,3250.0,59829.7857,4191.575699999998,0.0
7863,4850.0,9032.0,13741.0,2532.0,15178.0,9356.0,1313.0,131.0,42.0,1436.0,3426.0,61555.1224,4376.952400000001,0.0
7864,4858.0,9079.0,13913.0,4875.0,15178.0,9352.0,1352.0,131.0,0.0,1435.0,3609.0,63772.3469,3933.3068999999978,0.0
7865,4873.0,8997.0,13949.0,4457.0,15173.0,9357.0,1347.0,131.0,0.0,1429.0,3674.0,63245.5,3955.3,0.0
7866,4885.0,8968.0,13930.0,2754.0,15168.0,9350.0,1318.0,131.0,0.0,1412.0,3519.0,60932.6327,4075.9127000000035,0.0
