,hydro,nuclear,solar,wind_onshore,demand,s_l,s_r
182,1907.73,2812.0,16.67,10.8,8085.0,1263.5900000000001,0.0
183,2327.56,2811.1,2.29,9.81,8237.0,1669.8400000000001,0.0
184,3107.69,2812.6,0.27,15.04,8480.0,2028.8400000000001,0.0
185,3250.56,2814.7,0.26,15.81,8481.0,2253.8099999999995,0.0
186,2302.78,2817.0,0.22,17.96,8098.0,2219.66,0.0
187,1489.49,2818.7,0.27,21.85,7616.0,1564.8999999999978,0.0
188,920.48,2816.7,0.26,25.55,7211.0,1172.6900000000005,0.0
189,859.06,2819.1,0.26,27.47,7421.0,938.0,0.0
190,897.58,2820.6,0.26,26.91,6623.0,1308.8500000000004,0.0
191,561.68,2819.5,0.02,6.06,7593.0,1266.630000000001,0.0
192,460.64,2822.3,0.03,4.0,7566.0,1263.0699999999997,0.0
193,538.16,2822.3,0.03,6.02,7523.0,1363.0,0.0
194,516.51,2823.2,0.02,3.59,7472.0,1374.9799999999996,0.0
195,464.93,2824.0,0.03,4.12,7378.0,1371.9500000000007,0.0
196,583.98,2822.1,0.03,5.05,7556.0,1230.1100000000006,0.0
197,1006.25,2822.1,0.03,5.6,7470.0,1051.92,0.0
198,2182.71,2821.4,0.06,10.1,8215.0,1965.6599999999999,0.0
199,3552.83,2820.5,2.88,3.61,8466.0,2052.8099999999995,0.0
200,3530.98,2822.4,15.97,4.04,8446.0,2203.2599999999984,0.0
201,3140.98,2822.1,29.07,6.27,8537.0,2201.3600000000006,0.0
202,3177.93,2821.2,37.51,7.79,8621.0,1932.0400000000009,0.0
203,2020.63,2821.3,41.51,6.68,8299.0,1925.079999999998,0.0
204,1657.75,2820.9,36.16,5.98,8300.0,2236.5,0.0
205,1877.18,2819.9,29.95,5.55,8160.0,1943.619999999999,0.0
206,2146.98,2823.8,17.86,5.29,8096.0,1666.5600000000013,0.0
207,2186.98,2821.4,3.82,5.09,8226.0,1790.8100000000013,0.0
208,2662.76,2818.8,0.05,3.58,8496.0,2216.779999999999,0.0
209,2900.4,2818.1,0.03,2.34,8530.0,2342.4799999999996,0.0
210,1454.2,2818.2,0.03,1.02,8195.0,2115.880000000001,0.0
211,1106.66,2820.8,0.03,1.09,7736.0,1684.2099999999991,0.0
212,903.88,2821.2,0.03,1.3,7347.0,1350.5599999999995,0.0
213,821.24,2822.4,0.03,1.92,7498.0,1212.2299999999996,0.0
214,759.49,2823.8,0.03,2.11,7272.0,1173.0900000000001,0.0
215,844.43,2824.4,0.03,14.44,6904.0,1112.3499999999985,0.0
216,654.68,2827.2,0.02,13.31,7270.0,1161.0599999999995,0.0
217,684.28,2827.8,0.03,21.28,7238.0,1030.130000000001,0.0
218,703.73,2826.3,0.03,20.86,7135.0,1092.039999999999,0.0
219,704.06,2825.6,0.03,19.04,7130.0,962.5100000000002,0.0
220,781.21,2826.6,0.03,13.85,7279.0,893.8199999999997,0.0
221,1110.76,2824.8,0.03,19.91,7611.0,1129.539999999999,0.0
222,1431.93,2824.8,0.04,17.09,8405.0,1632.0299999999988,0.0
223,2891.58,2823.7,2.74,14.88,8766.0,2313.8500000000004,0.0
224,2533.16,2823.4,16.56,10.62,8729.0,2649.3600000000006,0.0
225,2347.56,2822.8,33.88,9.8,8741.0,2560.1399999999994,0.0
226,1814.38,2822.9,46.11,17.29,8760.0,2333.8099999999995,0.0
227,1630.06,2823.6,44.19,21.34,8491.0,1681.7000000000007,0.0
