,biomass,gas,hydro,lignite,nuclear,other_fossil,solar,wind_onshore,demand,s_l,s_r
7031,3.02,24.2,49.22,385.21,640.43,12.62,0.03,0.32,1184.0,608.3900000000003,0.0
7032,3.02,26.81,49.07,380.83,644.75,12.07,0.03,0.62,1155.0,579.8900000000002,0.0
7033,3.02,29.59,50.17,367.21,667.23,13.46,0.03,0.38,1147.0,593.43,0.0
7034,3.02,33.01,52.24,381.53,681.56,13.14,0.03,0.35,1140.0,544.54,0.0
7035,3.02,39.72,52.17,382.04,683.24,14.57,0.04,0.44,1145.0,469.73,0.0
7036,3.02,40.07,66.12,498.56,683.91,12.56,0.03,1.79,1211.0,179.21000000000038,0.0
7037,3.09,37.17,123.98,549.91,684.15,10.87,0.19,0.63,1325.0,0.0,61.520000000000095
7038,3.59,34.13,148.34,542.6,684.46,9.48,4.48,0.85,1420.0,0.0,192.96000000000004
7039,3.59,31.03,223.98,548.22,684.93,13.11,18.86,1.09,1516.0,0.0,132.36999999999978
7040,3.02,30.32,267.13,545.13,685.07,12.68,47.04,0.62,1565.0,0.0,3.049999999999841
7041,3.25,27.6,572.93,563.5,684.85,14.31,59.71,0.59,1613.0,0.0,403.93000000000006
7042,3.25,27.62,318.06,539.56,684.76,14.32,55.34,0.73,1590.0,0.0,409.62999999999994
7043,3.32,27.11,145.55,520.14,684.68,11.71,55.58,1.06,1501.0,0.0,195.7099999999998
7044,3.72,23.54,77.7,498.79,684.28,13.57,54.53,0.59,1446.0,0.0,114.43999999999971
7045,3.6,24.77,71.51,512.57,684.37,13.54,53.44,0.74,1389.0,0.0,118.46000000000038
7046,3.48,21.91,143.22,539.47,684.26,15.35,28.43,0.6,1386.0,0.0,86.94000000000028
7047,4.16,21.11,320.14,537.27,684.28,8.84,6.92,0.72,1417.0,14.78999999999985,0.0
7048,3.77,22.17,499.85,567.81,684.51,14.43,0.52,1.86,1558.0,0.0,35.29999999999961
7049,3.31,27.8,650.68,565.95,684.36,14.22,0.03,1.95,1629.0,6.410000000000082,0.0
7050,3.2,29.05,493.91,540.31,684.51,14.26,0.04,1.47,1584.0,167.9300000000003,0.0
7051,3.3,39.49,338.79,536.42,684.77,6.11,0.04,0.52,1485.0,305.6400000000003,0.0
7052,3.03,35.12,159.54,524.93,684.88,14.76,0.04,0.83,1414.0,375.06999999999994,0.0
7053,3.02,33.26,83.13,495.76,684.89,15.9,0.04,0.56,1298.0,449.3299999999998,0.0
7054,2.67,28.1,57.83,504.55,684.96,12.67,0.04,0.09,1237.0,496.27999999999986,0.0
7055,2.67,25.64,51.5,502.82,684.85,13.31,0.03,0.16,1195.0,585.0999999999999,0.0
7056,2.67,28.64,50.83,503.46,684.97,12.85,0.03,0.07,1170.0,511.1199999999999,0.0
7057,2.67,28.94,50.77,510.31,685.03,14.08,0.02,0.05,1168.0,388.1500000000002,0.0
7058,2.67,31.87,50.73,499.81,684.86,13.62,0.03,0.2,1194.0,168.35000000000002,0.0
7059,2.67,38.78,50.97,528.55,684.68,15.2,0.04,0.03,1342.0,51.1400000000001,0.0
7060,2.67,38.67,110.22,542.47,684.67,12.73,0.03,1.29,1659.0,231.43000000000018,0.0
