,hydro,lignite,wind_onshore,demand,s_l,s_r
157,0.0,206.47,0.0,369.0,256.09000000000003,0.0
158,0.0,206.25,0.0,369.0,263.31,0.0
159,0.0,206.53,0.0,394.0,327.47,0.0
160,0.0,206.09,0.0,422.0,349.15,0.0
161,0.0,206.53,0.0,429.0,328.38,0.0
162,0.0,193.77,0.0,430.0,312.49,0.0
163,0.0,186.95,0.0,426.0,325.29,0.0
164,0.0,187.77,0.0,422.0,308.69,0.0
165,0.0,174.63,0.0,405.0,322.88,0.0
166,0.0,173.64,0.0,384.0,285.24,0.0
167,0.0,177.38,0.0,355.0,303.86,0.0
168,0.0,173.53,0.0,325.0,281.62,0.0
169,0.0,173.31,0.0,303.0,246.82999999999998,0.0
170,0.0,173.42,0.0,290.0,239.96,0.0
171,0.0,173.75,0.0,286.0,254.11,0.0
172,0.0,174.46,0.0,288.0,274.15,0.0
173,0.0,204.71,0.0,304.0,264.85,0.0
174,0.12,205.26,0.0,333.0,296.81,0.0
175,195.23,207.46,0.0,373.0,208.74,0.0
176,190.1,206.58,0.0,403.0,207.29999999999998,0.0
177,140.96,206.2,0.0,413.0,220.40000000000003,0.0
178,141.6,206.64,0.0,409.0,223.70999999999998,0.0
179,141.26,205.81,0.0,402.0,217.08,0.0
180,69.8,206.8,0.0,394.0,238.59999999999997,0.0
181,70.64,205.21,0.0,393.0,240.01999999999998,0.0
182,70.52,206.69,0.0,402.0,258.17,0.0
183,71.21,206.8,0.0,430.0,345.37,0.0
184,100.5,205.76,0.0,453.0,332.0,0.0
185,109.73,206.25,0.0,458.0,330.13,0.0
186,109.05,207.41,0.0,456.0,308.56000000000006,0.0
187,0.0,206.47,0.0,449.0,352.1,0.0
188,0.0,207.24,0.0,440.0,317.49,0.0
189,0.0,189.2,0.0,424.0,316.88,0.0
190,0.0,187.94,0.0,410.0,295.95,0.0
191,0.0,179.96,0.0,378.0,289.19,0.0
192,0.0,177.82,0.0,338.0,249.89,0.0
