,biomass,gas,hard_coal,hydro,other_fossil,other_renewable,solar,wind_onshore,demand,s_l,s_r
38,316.0,940.0,152.0,5307.0,122.0,0.0,77.0,2037.0,9647.0,901.1900000000005,0.0
39,316.0,945.0,153.0,5584.0,122.0,0.0,22.0,1813.0,10099.0,1121.9900000000007,0.0
40,316.0,953.0,152.0,6174.0,122.0,0.0,8.0,1659.0,10292.0,938.4500000000007,0.0
41,316.0,962.0,152.0,6105.0,122.0,0.0,8.0,1732.0,10043.0,783.0900000000008,0.0
42,316.0,945.0,152.0,5611.0,122.0,0.0,0.0,1679.0,9412.0,696.9800000000002,0.0
43,316.0,941.0,151.0,4463.0,122.0,0.0,0.0,1723.0,8766.0,582.1099999999999,0.0
44,316.0,897.0,153.0,3899.0,122.0,0.0,0.0,1854.0,8195.0,575.0799999999995,0.0
45,316.0,751.0,155.0,3522.0,122.0,0.0,0.0,1982.0,8092.0,0.0,241.98000000000002
46,316.0,608.0,259.0,3301.0,122.0,0.0,0.0,1749.0,7554.0,0.0,749.2199999999996
47,316.0,586.0,305.0,3325.0,122.0,0.0,0.0,1061.0,7203.0,0.0,583.6800000000003
48,316.0,418.0,325.0,3236.0,122.0,0.0,0.0,588.0,6903.0,0.0,574.3499999999992
49,316.0,403.0,370.0,3288.0,122.0,0.0,0.0,276.0,6845.0,0.0,478.7900000000004
50,316.0,399.0,371.0,3284.0,122.0,0.0,0.0,250.0,6751.0,0.0,725.0500000000002
51,315.0,359.0,372.0,3223.0,122.0,0.0,0.0,397.0,7013.0,0.0,577.5699999999993
52,316.0,335.0,371.0,3337.0,122.0,0.0,0.0,781.0,7827.0,0.0,403.0999999999997
53,316.0,491.0,371.0,3328.0,122.0,0.0,0.0,1402.0,8639.0,0.0,96.59999999999945
54,316.0,645.0,372.0,3535.0,122.0,0.0,8.0,1963.0,9519.0,43.57000000000062,0.0
55,316.0,783.0,371.0,3621.0,122.0,0.0,16.0,2091.0,9852.0,161.9900000000007,0.0
56,316.0,853.0,372.0,3624.0,122.0,0.0,44.0,2201.0,10068.0,437.7600000000007,0.0
57,316.0,820.0,388.0,3616.0,122.0,0.0,83.0,2261.0,10224.0,401.36999999999966,0.0
58,316.0,866.0,422.0,3888.0,122.0,0.0,129.0,2299.0,10248.0,480.4600000000005,0.0
59,316.0,867.0,414.0,3813.0,122.0,0.0,148.0,2312.0,10168.0,628.6100000000004,0.0
60,316.0,944.0,427.0,3660.0,122.0,0.0,113.0,2107.0,10162.0,707.9900000000002,0.0
61,320.0,1020.0,434.0,3638.0,122.0,0.0,85.0,1734.0,10022.0,812.9100000000008,0.0
62,320.0,1183.0,454.0,3908.0,122.0,0.0,48.0,1629.0,9977.0,700.8499999999999,0.0
63,320.0,1148.0,434.0,4003.0,122.0,0.0,16.0,1985.0,10356.0,643.3700000000003,0.0
64,320.0,1193.0,441.0,3917.0,122.0,0.0,8.0,1933.0,10472.0,668.4300000000003,0.0
65,318.0,1124.0,374.0,3828.0,122.0,0.0,8.0,2008.0,10089.0,454.19000000000005,0.0
66,316.0,963.0,361.0,3788.0,122.0,0.0,0.0,1811.0,9440.0,128.85000000000082,0.0
67,316.0,747.0,363.0,3744.0,122.0,0.0,0.0,1781.0,8882.0,0.0,429.4000000000003
68,316.0,672.0,364.0,3802.0,122.0,0.0,0.0,1792.0,8246.0,0.0,534.8199999999999
69,316.0,638.0,367.0,3733.0,122.0,0.0,0.0,1935.0,8111.0,0.0,806.4100000000003
70,316.0,564.0,368.0,3642.0,122.0,0.0,0.0,1976.0,7610.0,0.0,812.4799999999996
71,316.0,499.0,368.0,3502.0,122.0,0.0,0.0,1975.0,7305.0,0.0,591.789999999999
72,316.0,484.0,367.0,3251.0,122.0,0.0,0.0,2136.0,6961.0,0.0,657.1299999999997
73,317.0,478.0,368.0,3271.0,122.0,0.0,0.0,2093.0,6766.0,0.0,1110.5899999999997
