,biomass,gas,hard_coal,other_fossil,solar,wind_offshore,wind_onshore,demand,s_l,s_r
7915,960.99,583.43,927.59,144.05,0.02,112.91,108.31,4759.5,103.12999999999931,0.0
7916,947.78,520.71,996.55,146.13,0.01,86.08,150.54,4443.3,56.79000000000019,0.0
7917,786.66,474.96,1018.36,150.26,0.0,125.58,201.58,4090.6,35.8900000000001,0.0
7918,661.57,460.27,875.2,139.78,0.0,137.12,234.77,3759.0,7.820000000000391,0.0
7919,691.22,436.14,922.31,114.59,0.0,159.3,193.52,3570.0,12.930000000000518,0.0
7920,683.36,435.89,848.89,111.92,0.0,218.33,158.92,3463.1,0.0,10.130000000000337
7921,649.9,429.5,950.7,109.79,0.0,186.87,119.4,3416.6,7.379999999999654,0.0
7922,676.06,432.27,958.73,96.49,0.0,137.33,98.81,3430.9,12.580000000000155,0.0
7923,678.57,428.91,951.73,96.03,0.01,118.76,90.82,3541.7,30.329999999998563,0.0
7924,801.05,439.03,959.05,104.08,0.02,42.52,69.31,3835.6,52.42999999999961,0.0
7925,885.41,537.3,1027.17,136.42,0.02,23.84,71.85,4498.9,10.369999999998925,0.0
7926,963.3,758.27,1083.89,144.11,0.13,33.41,73.52,5180.0,132.61999999999964,0.0
7927,951.34,829.68,1120.36,159.31,7.96,43.44,80.51,5325.8,92.87999999999985,0.0
7928,939.26,809.87,1114.04,146.04,66.8,32.26,63.11,5286.1,97.57999999999993,0.0
7929,956.98,815.0,1130.97,153.17,159.4,32.1,52.2,5302.8,49.090000000001055,0.0
7930,951.75,807.55,1082.66,166.25,207.64,36.21,37.32,5199.5,76.42000000000007,0.0
7931,937.83,809.45,1101.18,172.91,225.12,29.52,41.2,5070.5,29.730000000000473,0.0
7932,941.37,806.95,1125.06,178.26,192.64,44.75,71.95,5106.0,63.51999999999995,0.0
7933,934.93,791.97,1095.12,176.41,110.56,78.95,132.23,5031.5,60.94000000000091,0.0
7934,944.17,810.21,1083.27,172.94,19.97,80.14,205.35,5001.7,67.05999999999995,0.0
7935,968.17,809.13,1091.67,170.81,0.28,121.98,337.77,5321.1,59.18999999999994,0.0
7936,961.52,805.22,1093.58,172.95,0.02,169.87,531.87,5677.4,21.300000000000864,0.0
7937,951.34,798.89,1065.44,182.11,0.02,174.05,644.59,5462.8,28.78999999999985,0.0
7938,947.98,769.66,1073.36,166.61,0.02,183.05,593.98,5139.5,95.90999999999985,0.0
7939,927.84,726.72,1042.0,159.2,0.02,241.05,662.85,4890.5,126.99000000000024,0.0
7940,841.14,624.47,934.35,144.66,0.01,273.79,684.13,4582.3,123.2999999999995,0.0
7941,812.56,521.91,930.84,125.87,0.0,334.88,683.97,4256.4,106.68999999999937,0.0
7942,808.53,518.61,956.08,120.34,0.0,389.47,779.75,3908.3,0.0,24.910000000000082
7943,729.03,426.57,715.42,117.1,0.0,425.66,866.99,3750.0,0.0,57.1899999999996
7944,680.88,440.32,847.02,117.12,0.0,520.76,1022.1,3538.2,0.0,179.21000000000026
7945,625.92,439.94,792.75,113.67,0.0,527.47,1113.65,3489.4,0.0,44.56999999999982
7946,664.51,449.87,861.92,119.81,0.0,505.47,1076.04,3514.4,0.0,98.6599999999994
7947,625.83,440.18,811.47,117.1,0.01,588.06,1070.32,3614.0,0.0,42.44999999999959
7948,729.56,442.47,963.28,113.79,0.02,701.25,1282.49,3891.0,0.0,141.1099999999999
7949,747.15,469.38,705.1,129.72,0.02,579.73,1336.53,4784.8,7.950000000000273,0.0
7950,824.54,615.21,728.44,175.24,0.13,626.35,1603.2,5331.2,0.0,2.6600000000012187
7951,909.19,583.43,715.93,154.3,5.97,759.08,1950.59,5627.2,0.0,16.93000000000052
7952,896.52,596.59,699.01,138.98,62.39,807.93,2308.93,5585.9,0.0,37.70999999999958
7953,779.66,522.04,786.28,130.56,134.12,971.79,2401.1,5608.4,0.0,63.65999999999951
7954,801.15,498.67,984.94,117.12,183.94,958.19,2707.31,5573.5,8.550000000000637,0.0
7955,809.17,492.8,1039.94,108.74,192.98,778.85,2784.25,5465.1,5.190000000000964,0.0
7956,817.4,469.69,1024.79,112.88,129.29,810.74,2888.14,5545.8,0.0,18.589999999999918
7957,871.32,485.69,963.83,113.99,59.34,918.91,2998.52,5515.7,55.3799999999992,0.0
7958,882.13,518.03,836.42,118.33,10.55,812.55,3013.94,5479.7,26.5199999999993,0.0
7959,869.88,516.51,863.11,118.56,0.16,809.48,3080.23,5745.8,23.009999999999536,0.0
7960,796.54,543.53,837.69,118.22,0.02,815.04,3270.17,6015.3,0.0,11.610000000000582
7961,773.03,411.74,824.29,117.91,0.02,811.15,3046.02,5842.3,16.57000000000005,0.0
7962,767.92,392.79,822.05,116.07,0.02,813.25,3080.46,5540.5,38.33000000000038,0.0
7963,755.13,343.24,822.56,116.4,0.02,1019.47,3280.87,5234.0,7.139999999999873,0.0
7964,712.52,340.13,827.89,121.75,0.01,1020.5,3311.71,4905.3,8.620000000000346,0.0
7965,703.98,315.69,801.41,118.47,0.0,1020.39,3215.77,4569.7,19.699999999999818,0.0
7966,623.48,335.18,847.69,118.4,0.0,1020.61,3415.6,4172.8,0.0,18.539999999999964
7967,525.7,305.45,751.63,114.67,0.0,1017.36,3197.15,3982.4,0.0,6.240000000000691
7968,509.07,319.57,812.21,126.39,0.0,866.63,2941.24,3880.5,0.0,97.82999999999947
7969,518.52,329.56,787.15,127.98,0.0,1008.78,2985.69,3823.7,0.0,106.89000000000033
7970,488.67,298.17,781.14,114.3,0.0,1012.72,3003.05,3835.3,0.0,17.850000000000364
