,biomass,gas,hydro,other_fossil,solar,wind_onshore,demand,s_l,s_r
168,52.28,47.31,32.95,39.13,0.0,442.96,1069.0,195.89999999999986,0.0
169,52.4,47.38,32.95,39.12,0.0,414.53,1055.0,118.1099999999999,0.0
170,52.38,47.35,32.93,38.54,0.0,366.68,1074.0,353.8599999999999,0.0
171,52.48,47.37,33.12,38.55,0.0,303.56,1142.0,318.93000000000006,0.0
172,52.9,47.32,33.14,37.94,0.0,249.18,1385.0,421.7,0.0
173,52.98,47.64,62.74,37.49,0.0,216.46,1612.0,542.6500000000001,0.0
174,52.79,47.84,152.57,36.99,0.15,185.87,1757.0,637.6999999999999,0.0
175,52.56,47.27,449.06,36.99,2.15,188.15,1798.0,593.5100000000002,0.0
176,52.55,47.28,384.51,37.34,7.48,192.79,1792.0,601.1200000000002,0.0
177,52.26,47.37,296.41,38.01,9.58,168.16,1780.0,642.11,0.0
178,52.57,47.76,316.77,37.94,9.51,169.43,1749.0,641.8399999999999,0.0
179,52.67,47.88,287.66,38.26,8.38,181.77,1752.0,661.46,0.0
180,52.56,47.8,168.27,38.45,5.42,181.99,1735.0,702.77,0.0
181,52.28,47.81,181.73,37.39,0.11,138.76,1725.0,693.3800000000001,0.0
182,52.43,47.81,159.2,37.46,0.0,117.14,1755.0,701.47,0.0
183,52.66,47.78,536.07,38.21,0.0,131.28,1808.0,690.49,0.0
184,52.7,47.96,536.35,37.8,0.0,93.95,1782.0,685.9300000000001,0.0
185,52.9,48.09,171.1,37.36,0.0,64.8,1728.0,698.0800000000002,0.0
186,52.95,48.1,105.45,37.54,0.0,96.87,1665.0,686.73,0.0
187,53.0,48.15,96.51,38.98,0.0,146.68,1561.0,595.51,0.0
188,52.73,48.16,33.23,39.81,0.0,191.26,1410.0,585.28,0.0
189,52.27,48.1,33.03,38.09,0.0,243.84,1279.0,212.11999999999978,0.0
190,52.02,48.11,46.86,38.77,0.0,286.07,1190.0,140.76,0.0
191,52.04,48.11,33.11,39.44,0.0,272.38,1141.0,227.79000000000008,0.0
192,52.12,47.88,32.88,38.58,0.0,236.94,1109.0,0.0,104.34000000000009
193,51.62,47.42,32.88,39.06,0.0,186.87,1100.0,0.0,158.3499999999999
194,51.72,47.26,32.88,39.54,0.0,142.36,1106.0,0.0,84.86000000000013
195,51.85,47.34,32.89,39.25,0.0,126.4,1167.0,132.36999999999998,0.0
196,52.3,47.32,33.04,39.21,0.0,98.18,1402.0,0.0,17.220000000000027
197,52.34,47.3,86.54,38.67,0.0,74.86,1620.0,0.0,131.25
198,52.14,47.39,248.49,38.14,0.19,56.33,1756.0,0.0,2.400000000000091
199,51.98,47.38,278.75,38.25,0.77,49.91,1802.0,100.54000000000013,0.0
200,51.67,47.47,301.14,37.89,2.47,58.5,1803.0,53.82999999999984,0.0
201,52.02,47.6,106.54,38.06,4.87,64.37,1799.0,116.98000000000005,0.0
202,52.0,47.62,105.45,38.44,5.43,54.82,1775.0,127.25000000000006,0.0
203,52.05,47.5,105.43,38.16,4.38,45.97,1787.0,162.99,0.0
204,52.02,47.58,105.42,37.87,2.04,39.04,1778.0,199.03000000000003,0.0
205,52.09,47.56,105.41,38.09,0.21,32.36,1762.0,53.18999999999997,0.0
206,52.39,47.42,256.69,37.64,0.01,22.37,1788.0,0.0,11.370000000000061
207,52.43,47.17,267.36,38.15,0.0,23.14,1819.0,0.0,40.7300000000001
208,52.48,47.12,314.35,37.78,0.0,22.18,1782.0,0.0,9.930000000000177
209,52.56,47.14,322.9,37.86,0.0,16.75,1727.0,0.0,22.130000000000024
210,52.72,46.98,144.15,38.71,0.0,22.01,1675.0,316.85000000000014,0.0
211,52.65,46.65,153.79,39.01,0.0,17.55,1571.0,392.1200000000001,0.0
212,52.41,46.64,92.16,38.61,0.0,13.39,1404.0,377.08000000000004,0.0
213,52.11,46.67,61.55,38.42,0.0,15.08,1264.0,279.62,0.0
214,51.97,46.26,121.99,38.38,0.0,25.92,1188.0,307.48,0.0
215,51.93,46.14,56.2,38.06,0.0,47.82,1141.0,137.84,0.0
216,51.9,46.18,56.21,38.38,0.0,68.45,1121.0,0.0,54.41000000000008
217,51.83,46.17,52.67,38.46,0.0,114.65,1114.0,0.0,134.6500000000001
218,51.98,46.16,39.33,38.1,0.0,118.04,1132.0,0.0,279.01
219,52.41,46.18,33.1,38.35,0.0,174.47,1205.0,0.0,345.25
220,52.92,46.18,68.26,38.08,0.0,193.42,1446.0,0.0,258.8000000000002
221,53.1,46.15,129.35,38.17,0.0,221.69,1666.0,0.0,305.8299999999999
222,53.14,46.18,315.46,37.96,0.74,236.48,1820.0,0.0,226.29999999999995
223,52.99,46.19,543.72,38.86,2.0,250.91,1853.0,0.0,122.35000000000016
224,53.15,46.2,540.4,38.2,7.34,253.84,1855.0,0.0,123.24000000000001
225,53.0,46.21,531.07,38.57,9.04,204.57,1837.0,0.0,30.29000000000002
226,52.81,46.17,507.36,38.09,12.06,193.51,1805.0,0.0,88.13999999999982
227,52.85,46.14,306.05,37.97,9.84,202.34,1819.0,0.0,34.37000000000006
228,52.9,46.21,317.84,38.18,7.63,194.02,1802.0,0.0,55.56999999999999
229,52.99,46.15,317.7,38.81,1.47,201.97,1797.0,0.0,48.409999999999854
230,52.9,46.13,512.81,38.82,0.0,212.9,1826.0,0.0,94.89999999999992
231,52.81,46.12,518.23,39.32,0.0,239.87,1861.0,0.0,37.980000000000075
232,52.95,46.13,518.13,39.17,0.0,246.27,1830.0,0.0,32.400000000000205
233,52.79,46.07,510.9,39.81,0.0,236.81,1773.0,3.540000000000191,0.0
234,52.86,46.07,501.31,40.09,0.0,201.74,1707.0,293.8899999999998,0.0
235,52.79,46.01,106.88,39.69,0.0,206.79,1599.0,432.05000000000007,0.0
236,52.72,45.62,105.5,39.37,0.0,222.17,1443.0,492.40999999999997,0.0
