,biomass,gas,hard_coal,hydro,lignite,other_fossil,wind_onshore,demand,s_l,s_r
8172,255.08,1187.43,12116.04,451.14,6334.68,260.29,1813.27,23664.2857,647.085699999998,0.0
8173,256.69,1188.98,12222.05,316.56,6231.1,258.81,1681.17,23320.4082,670.0182000000017,0.0
8174,257.13,1184.56,12172.12,435.47,6273.94,262.38,1720.78,23391.8367,654.6767000000007,0.0
8175,257.03,1183.21,11970.65,896.9,6198.69,267.11,1887.88,24053.0612,684.1712000000003,0.0
8176,255.97,1183.27,11677.51,855.88,6140.48,267.09,2053.69,23718.3673,683.3973000000033,0.0
8177,256.73,1178.28,11441.55,739.21,6130.46,265.08,2183.34,23259.1837,875.6737000000007,0.0
8178,255.06,1153.03,10500.62,725.75,5928.4,261.42,2365.27,22933.6735,600.3135000000027,0.0
8179,256.15,1128.4,10180.39,564.92,5877.42,245.29,2487.15,22260.2041,636.2740999999974,0.0
8180,253.74,1101.86,10037.92,198.12,5203.44,245.96,2631.58,20842.8571,461.2170999999977,0.0
8181,252.21,1073.07,9763.12,136.95,5020.48,243.5,2803.0,19470.4082,544.0582000000009,0.0
8182,251.93,1017.01,9506.77,100.09,4245.46,244.68,2964.06,18206.1224,441.9123999999965,0.0
8183,247.35,1025.65,8635.25,103.83,3998.93,245.09,3212.85,17015.3061,116.4561000000017,0.0
8184,245.81,1027.52,8449.81,104.0,3607.51,244.59,3413.74,16358.1633,0.0,140.95669999999973
8185,245.88,1026.85,8335.86,103.99,3482.51,244.35,3686.34,15870.4082,0.0,637.491799999998
8186,245.34,1026.79,8163.18,103.93,3513.28,242.15,3989.51,15811.2245,0.0,892.6054999999988
8187,246.62,1027.21,8148.6,103.93,3503.99,241.06,4241.41,15878.5714,0.0,964.3186000000001
8188,246.71,1027.5,8197.15,104.11,3515.52,239.49,4333.78,16016.3265,0.0,944.5735000000045
8189,246.0,1027.11,8396.81,104.76,3598.78,239.47,4420.23,17129.5918,0.0,532.4682000000028
8190,245.53,1036.03,8558.96,103.19,3676.75,237.57,4430.04,18058.1633,26.763300000001436,0.0
8191,244.27,1097.34,8674.16,109.2,4125.82,237.47,4316.72,19043.8776,82.51759999999888,0.0
8192,245.15,1106.09,8826.3,75.94,4615.03,236.39,4282.13,19988.7755,71.45550000000003,0.0
