,biomass,gas,hydro,other_fossil,wind_onshore,demand,s_l,s_r
7708,80.0,323.0,0.0,87.0,26.0,644.0,562.0,0.0
7709,80.0,325.0,0.0,87.0,29.0,686.0,582.5,0.0
7710,80.0,327.0,0.0,87.0,36.0,716.0,665.5,0.0
7711,79.0,329.0,0.0,86.0,32.0,776.0,630.0,0.0
7712,80.0,327.0,0.0,87.0,34.0,818.0,752.0,0.0
7713,80.0,307.0,0.0,87.0,29.0,832.0,703.5,0.0
7714,84.0,304.0,0.0,92.0,24.0,840.0,698.0,0.0
7715,83.0,304.0,0.0,90.0,24.0,830.0,680.5,0.0
7716,83.0,304.0,0.0,89.0,23.0,818.0,631.5,0.0
7717,86.0,304.0,0.0,93.0,23.0,827.0,651.0,0.0
7718,83.0,311.0,0.0,90.0,32.0,872.0,705.5,0.0
7719,81.0,421.0,112.0,87.0,27.0,893.0,655.0,0.0
7720,82.0,528.0,0.0,88.0,24.0,878.0,664.0,0.0
7721,83.0,526.0,0.0,89.0,21.0,840.0,637.0,0.0
7722,86.0,388.0,0.0,92.0,23.0,810.0,625.0,0.0
7723,85.0,277.0,0.0,91.0,18.0,770.0,666.5,0.0
7724,83.0,287.0,0.0,88.0,16.0,727.0,387.5,0.0
7725,82.0,308.0,0.0,88.0,8.0,689.0,313.5,0.0
7726,80.0,326.0,0.0,88.0,14.0,649.0,433.0,0.0
7727,80.0,329.0,0.0,88.0,14.0,608.0,268.0,0.0
7728,79.0,328.0,0.0,87.0,14.0,589.0,245.5,0.0
7729,79.0,328.0,0.0,87.0,12.0,577.0,202.5,0.0
7730,80.0,328.0,0.0,87.0,14.0,580.0,218.5,0.0
7731,82.0,327.0,0.0,87.0,13.0,606.0,236.5,0.0
7732,82.0,325.0,0.0,87.0,11.0,653.0,253.5,0.0
7733,83.0,402.0,0.0,87.0,11.0,702.0,266.5,0.0
7734,83.0,506.0,16.0,87.0,9.0,749.0,468.0,0.0
7735,83.0,508.0,0.0,86.0,9.0,819.0,569.5,0.0
7736,83.0,502.0,0.0,86.0,10.0,868.0,838.5,0.0
7737,83.0,495.0,0.0,86.0,10.0,881.0,793.5,0.0
