,biomass,gas,hard_coal,hydro,lignite,nuclear,other_fossil,other_renewable,solar,wind_onshore,demand,s_l,s_r
7395,327.0,3704.0,2778.0,1479.0,393.0,6016.0,624.0,81.0,6.0,8423.0,21028.0,0.0,2558.2000000000003
7396,324.0,3728.0,3097.0,1563.0,378.0,6015.0,635.0,82.0,6.0,8085.0,21796.0,0.0,2082.1100000000015
7397,329.0,4735.0,4192.0,2916.0,482.0,6016.0,637.0,83.0,5.0,7300.0,25076.0,0.0,4.5900000000006
7398,334.0,6163.0,4863.0,3541.0,497.0,6017.0,657.0,82.0,3.0,6342.0,29085.0,390.74000000000115,0.0
7399,322.0,7964.0,5234.0,4263.0,479.0,6017.0,690.0,82.0,99.0,6473.0,31557.0,156.6399999999976,0.0
7400,308.0,8419.0,5386.0,4474.0,506.0,6016.0,686.0,86.0,521.0,6797.0,32925.0,69.91999999999689,0.0
7401,302.0,8332.0,5533.0,4059.0,510.0,6015.0,691.0,86.0,834.0,7446.0,33714.0,111.80999999999904,0.0
7402,303.0,8391.0,5576.0,3352.0,510.0,6016.0,683.0,86.0,1046.0,7953.0,33843.0,242.9499999999989,0.0
7403,298.0,8600.0,5591.0,3467.0,509.0,6015.0,680.0,89.0,1157.0,8470.0,34185.0,259.86999999999944,0.0
7404,305.0,8432.0,5602.0,3421.0,510.0,6015.0,680.0,89.0,1221.0,8497.0,34290.0,160.849999999999,0.0
7405,310.0,8508.0,5631.0,2912.0,506.0,6015.0,689.0,89.0,1202.0,8258.0,33314.0,191.99000000000296,0.0
7406,308.0,8231.0,5655.0,2795.0,511.0,6013.0,685.0,88.0,1131.0,8540.0,32883.0,137.54999999999654,0.0
7407,304.0,8300.0,5656.0,2602.0,510.0,6014.0,677.0,89.0,902.0,8789.0,32649.0,133.9899999999975,0.0
7408,291.0,8506.0,5663.0,3175.0,510.0,6012.0,683.0,91.0,424.0,8789.0,32871.0,20.4199999999978,0.0
7409,289.0,8247.0,5658.0,4001.0,502.0,6013.0,682.0,91.0,45.0,9246.0,34388.0,0.0,59.14000000000078
7410,289.0,8054.0,5658.0,4127.0,511.0,6015.0,677.0,92.0,3.0,9404.0,35247.0,0.0,116.27999999999975
7411,290.0,7902.0,5515.0,2597.0,511.0,6015.0,673.0,93.0,3.0,9854.0,35313.0,0.0,69.79000000000087
7412,289.0,6829.0,5260.0,2407.0,507.0,6016.0,682.0,91.0,3.0,10082.0,34124.0,0.0,101.54000000000292
7413,290.0,5629.0,4514.0,2073.0,494.0,6016.0,702.0,91.0,3.0,10248.0,31389.0,0.0,171.59000000000083
7414,302.0,5037.0,3797.0,1793.0,382.0,6015.0,705.0,90.0,3.0,10822.0,28306.0,0.0,672.0000000000016
7415,329.0,3983.0,3333.0,1608.0,376.0,6015.0,680.0,88.0,3.0,11719.0,26078.0,0.0,1929.0599999999986
7416,335.0,3754.0,3061.0,1636.0,369.0,6016.0,667.0,87.0,3.0,11616.0,24524.0,0.0,3058.000000000001
7417,335.0,3796.0,2888.0,1612.0,372.0,6016.0,655.0,87.0,3.0,11491.0,23499.0,0.0,3160.4099999999994
7418,329.0,3611.0,2907.0,1520.0,363.0,6014.0,649.0,86.0,3.0,12126.0,23133.0,0.0,2835.69
7419,332.0,3581.0,2736.0,1464.0,357.0,6015.0,647.0,86.0,3.0,12575.0,23057.0,0.0,2810.51
