,biomass,gas,hard_coal,hydro,lignite,nuclear,solar,wind_onshore,demand,s_l,s_r
100,34.0,1227.0,243.0,1489.0,2034.0,1404.0,0.0,88.0,6172.0,0.0,134.59999999999957
101,34.0,1381.0,243.0,1866.0,2038.0,1403.0,0.0,101.0,6767.0,0.0,199.45000000000016
102,34.0,1591.0,239.0,2013.0,2173.0,1399.0,20.0,75.0,7187.0,0.0,360.5100000000002
103,34.0,1759.0,245.0,1976.0,2206.0,1363.0,145.0,56.0,7400.0,0.0,363.3299999999999
104,34.0,1978.0,238.0,1922.0,2151.0,1373.0,270.0,44.0,7389.0,0.0,393.5499999999993
105,34.0,2009.0,238.0,1996.0,2119.0,1360.0,303.0,34.0,7341.0,0.0,444.8199999999997
106,34.0,2021.0,244.0,2104.0,2189.0,1361.0,232.0,40.0,7325.0,0.0,501.3900000000004
107,36.0,2012.0,249.0,2270.0,2173.0,1361.0,154.0,58.0,7351.0,0.0,532.95
108,38.0,2006.0,243.0,2322.0,2085.0,1365.0,129.0,86.0,7231.0,0.0,539.3699999999999
109,37.0,2003.0,241.0,2345.0,2083.0,1377.0,68.0,100.0,7175.0,0.0,577.48
110,37.0,2011.0,250.0,2403.0,2142.0,1388.0,12.0,158.0,7365.0,0.0,581.3600000000006
111,38.0,2043.0,274.0,2609.0,2262.0,1393.0,0.0,182.0,7918.0,0.0,601.75
112,38.0,2084.0,277.0,2776.0,2258.0,1393.0,0.0,255.0,8004.0,0.0,675.05
113,38.0,2086.0,276.0,2751.0,2227.0,1392.0,0.0,385.0,7874.0,0.0,764.75
114,38.0,2083.0,273.0,2611.0,2228.0,1392.0,0.0,465.0,7689.0,0.0,786.19
115,38.0,2025.0,249.0,2423.0,2264.0,1392.0,0.0,516.0,7272.0,0.0,783.37
116,38.0,2019.0,248.0,2169.0,2097.0,1393.0,0.0,565.0,6696.0,0.0,682.98
117,39.0,2027.0,247.0,1780.0,2034.0,1396.0,0.0,584.0,6173.0,0.0,570.75
118,38.0,1825.0,252.0,1602.0,2057.0,1397.0,0.0,581.0,5829.0,0.0,603.8800000000001
119,37.0,1558.0,253.0,1577.0,2084.0,1401.0,0.0,629.0,5677.0,0.0,593.0900000000001
120,38.0,1527.0,228.0,1482.0,2005.0,1401.0,0.0,714.0,5527.0,0.0,602.76
121,38.0,1526.0,228.0,1464.0,2004.0,1401.0,0.0,641.0,5477.0,0.0,597.3499999999999
122,38.0,1543.0,233.0,1545.0,2045.0,1402.0,0.0,485.0,5504.0,0.0,575.48
123,38.0,1555.0,234.0,1576.0,2070.0,1401.0,0.0,356.0,5601.0,0.0,526.0699999999997
124,36.0,1574.0,234.0,1564.0,2061.0,1401.0,0.0,253.0,5755.0,0.0,438.2499999999998
125,35.0,1572.0,231.0,1645.0,2054.0,1402.0,0.0,205.0,6000.0,0.0,412.53
126,35.0,1555.0,231.0,1627.0,2037.0,1404.0,16.0,241.0,6228.0,0.0,386.47999999999956
127,35.0,1524.0,228.0,1616.0,1969.0,1403.0,168.0,327.0,6372.0,0.0,434.3100000000003
128,35.0,1487.0,225.0,1429.0,1945.0,1404.0,354.0,444.0,6320.0,0.0,493.90000000000003
129,34.0,1495.0,230.0,1290.0,2006.0,1404.0,448.0,411.0,6196.0,0.0,513.5699999999999
130,35.0,1304.0,237.0,1841.0,1768.0,1404.0,482.0,263.0,6168.0,0.0,474.38
131,36.0,1312.0,239.0,1838.0,1876.0,1404.0,462.0,184.0,6153.0,0.0,464.0999999999999
132,37.0,1308.0,236.0,1821.0,1994.0,1404.0,356.0,183.0,6023.0,0.0,528.2
133,38.0,1404.0,236.0,1772.0,2066.0,1405.0,170.0,325.0,6012.0,0.0,591.21
134,37.0,1498.0,243.0,1767.0,2077.0,1404.0,31.0,662.0,6232.0,0.0,604.01
135,35.0,1550.0,255.0,1897.0,2141.0,1405.0,1.0,1073.0,6929.0,0.0,592.9
136,38.0,1614.0,265.0,1884.0,2154.0,1405.0,0.0,1348.0,7180.0,0.0,615.02
137,39.0,1552.0,237.0,1913.0,2144.0,1405.0,0.0,1524.0,7178.0,0.0,664.6800000000001
138,38.0,1522.0,237.0,1903.0,2107.0,1405.0,0.0,1618.0,7043.0,0.0,638.6500000000001
139,39.0,1525.0,240.0,1809.0,2085.0,1404.0,0.0,1556.0,6743.0,0.0,673.74
140,38.0,1503.0,247.0,1683.0,2084.0,1404.0,0.0,1313.0,6303.0,0.0,693.51
141,39.0,1462.0,239.0,1332.0,1976.0,1405.0,0.0,1417.0,5895.0,0.0,648.72
142,37.0,1015.0,250.0,1262.0,2122.0,1405.0,0.0,1440.0,5631.0,0.0,552.6799999999998
143,35.0,981.0,240.0,1254.0,2066.0,1405.0,0.0,1328.0,5406.0,0.0,446.53
144,36.0,985.0,236.0,1217.0,2035.0,1405.0,0.0,1255.0,5266.0,0.0,454.20000000000005
145,36.0,985.0,235.0,1213.0,2058.0,1405.0,0.0,1183.0,5209.0,0.0,471.23
146,36.0,997.0,241.0,1264.0,2085.0,1405.0,0.0,1078.0,5185.0,0.0,481.48
147,35.0,1012.0,248.0,1338.0,2110.0,1405.0,0.0,930.0,5252.0,0.0,471.4499999999998
148,34.0,1025.0,255.0,1530.0,2146.0,1404.0,0.0,540.0,5380.0,0.0,390.5
149,33.0,1026.0,248.0,1759.0,2077.0,1404.0,0.0,371.0,5612.0,0.0,409.8699999999999
150,33.0,1029.0,248.0,1710.0,2095.0,1405.0,21.0,249.0,5751.0,0.0,371.61999999999966
151,32.0,1027.0,237.0,1516.0,1990.0,1405.0,136.0,355.0,5842.0,0.0,286.92999999999995
152,33.0,988.0,233.0,1504.0,1807.0,1405.0,284.0,375.0,5820.0,0.0,251.16999999999962
153,33.0,1002.0,236.0,1542.0,1637.0,1404.0,425.0,292.0,5729.0,0.0,284.1999999999996
154,33.0,997.0,231.0,1533.0,1657.0,1405.0,469.0,283.0,5693.0,0.0,285.1100000000001
155,33.0,996.0,232.0,1492.0,1662.0,1405.0,447.0,308.0,5653.0,0.0,282.38999999999976
156,32.0,998.0,231.0,1455.0,1636.0,1405.0,351.0,467.0,5581.0,0.0,314.08000000000004
157,32.0,994.0,236.0,1496.0,1720.0,1405.0,182.0,584.0,5684.0,0.0,329.0600000000004
158,33.0,991.0,241.0,1593.0,1754.0,1406.0,41.0,720.0,5984.0,0.0,281.97999999999956
159,33.0,1002.0,244.0,1816.0,1968.0,1407.0,13.0,782.0,6629.0,0.0,235.8699999999999
