,biomass,gas,hard_coal,hydro,lignite,nuclear,other_fossil,other_renewable,solar,wind_onshore,demand,s_l,s_r
71,256.15,230.91,494.99,112.59,2750.07,2384.35,313.71,271.11,0.0,218.44,7085.0,0.0,1080.9899999999982
72,255.82,233.04,504.02,112.37,2752.28,2303.98,316.51,269.69,0.0,206.31,7146.0,0.0,1075.0700000000004
73,255.68,230.13,500.99,112.3,2696.88,2303.5,313.41,267.57,0.0,202.52,7046.0,0.0,1065.8199999999988
74,255.56,228.03,497.42,112.23,2662.29,2305.22,310.89,268.52,0.0,204.56,6964.0,0.0,1062.8300000000002
75,255.84,233.95,509.22,112.15,2815.8,2312.26,316.62,268.88,0.0,192.39,7065.0,0.0,1047.5800000000004
76,256.36,241.2,509.29,112.04,3193.14,2419.82,344.21,267.61,0.0,186.44,7586.0,0.0,729.5500000000006
77,257.67,277.93,520.88,126.6,3706.6,2440.73,366.32,274.68,0.0,192.24,8679.0,33.10000000000082,0.0
78,263.77,289.5,521.6,254.16,4020.84,2444.02,364.73,274.37,1.49,196.08,9186.0,65.13000000000056,0.0
79,267.92,286.41,530.17,413.56,4244.2,2446.93,372.94,275.89,29.22,185.53,9239.0,55.309999999999945,0.0
80,266.21,283.22,532.43,455.75,4265.41,2444.94,374.49,274.61,179.6,158.21,9327.0,57.33999999999969,0.0
81,268.67,273.09,531.77,678.49,4232.67,2443.41,363.38,274.29,327.94,149.2,9274.0,72.75999999999749,0.0
82,268.67,265.39,534.52,727.37,4261.05,2442.6,367.93,274.5,309.55,139.15,9254.0,81.97000000000025,0.0
83,259.09,267.81,535.77,531.28,4282.06,2442.45,368.41,275.16,248.31,102.28,9402.0,75.73000000000138,0.0
84,258.75,277.41,536.98,283.61,4320.72,2442.04,381.12,280.45,163.47,72.94,9414.0,23.039999999997235,0.0
85,265.37,276.91,533.86,144.33,4297.45,2442.9,383.7,281.68,78.69,58.27,9319.0,55.73999999999842,0.0
86,259.07,279.2,537.26,199.1,4272.39,2444.02,386.14,283.71,15.05,81.34,9391.0,51.0700000000013,0.0
87,258.13,278.99,541.29,990.3,4278.01,2442.5,386.16,283.24,0.51,113.39,9458.0,73.26999999999953,0.0
88,258.01,279.34,542.49,1234.05,4227.59,2442.55,380.48,282.79,0.0,101.48,9444.0,75.62000000000035,0.0
89,257.95,279.54,538.6,1242.76,4229.06,2441.52,374.79,281.95,0.0,100.82,9222.0,72.79999999999927,0.0
