,biomass,gas,hard_coal,hydro,lignite,nuclear,other_fossil,other_renewable,solar,wind_onshore,FR -> ES,PT -> ES,demand,ES -> FR,ES -> PT,mismatch
3693,354.0,4879.0,3804.0,4718.0,394.0,4645.0,563.0,98.0,458.0,3428.0,2165.01,0.0,24840.0,0.0,392.94,273.07000000000204
3694,359.0,4482.0,3208.0,3951.0,410.0,4648.0,564.0,99.0,457.0,3466.0,1486.38,0.0,23083.0,0.0,111.28,-63.89999999999898
3695,357.0,4387.0,2749.0,3677.0,398.0,4647.0,562.0,93.0,445.0,3557.0,1442.56,0.0,21693.0,0.0,271.64,349.9200000000013
3696,357.0,4377.0,2719.0,3520.0,401.0,4645.0,562.0,92.0,381.0,3797.0,1472.51,0.0,20896.0,0.0,260.28,1167.2299999999984
3697,354.0,4525.0,2672.0,3689.0,398.0,4646.0,557.0,92.0,330.0,3560.0,1505.79,5.89,20683.0,0.0,0.0,1651.6800000000003
3698,357.0,4600.0,2651.0,3628.0,393.0,4647.0,558.0,93.0,297.0,3433.0,1485.06,189.66,20623.0,0.0,0.0,1708.7200000000012
3699,357.0,4732.0,2940.0,3520.0,396.0,4647.0,554.0,93.0,280.0,3388.0,1497.87,820.39,21202.0,0.0,0.0,2023.2599999999984
3700,360.0,4890.0,3367.0,3820.0,410.0,4646.0,551.0,96.0,225.0,3143.0,1406.39,1647.53,23358.0,0.0,0.0,1203.9199999999983
3701,353.0,5448.0,3929.0,4327.0,403.0,4647.0,555.0,99.0,263.0,3044.0,1436.01,2760.68,26196.0,0.0,0.0,1068.6899999999987
3702,356.0,5368.0,4542.0,5157.0,419.0,4645.0,577.0,102.0,834.0,2519.0,1748.99,2419.13,28734.0,0.0,0.0,-46.88000000000102
3703,356.0,5231.0,4635.0,5519.0,426.0,4647.0,580.0,99.0,2062.0,2246.0,1027.0,2306.95,30091.0,0.0,0.0,-956.0499999999993
3704,356.0,5308.0,4687.0,6107.0,439.0,4647.0,586.0,99.0,2821.0,2399.0,1104.54,2216.75,30866.0,0.0,0.0,-95.70999999999913
3705,353.0,5179.0,4720.0,6078.0,436.0,4647.0,588.0,94.0,3008.0,2832.0,1205.42,2028.73,31343.0,0.0,0.0,-173.84999999999854
3706,356.0,5155.0,4698.0,6039.0,429.0,4646.0,599.0,98.0,3239.0,3262.0,1311.97,2061.3,31847.0,0.0,0.0,47.27000000000044
3707,347.0,5221.0,4677.0,5097.0,420.0,4647.0,611.0,101.0,3598.0,3675.0,1369.97,1547.99,31874.0,0.0,0.0,-562.0400000000009
3708,347.0,5032.0,4579.0,4368.0,436.0,4646.0,613.0,103.0,3738.0,4110.0,1585.21,1359.14,30967.0,0.0,0.0,-50.650000000001455
3709,351.0,4932.0,4183.0,3883.0,420.0,4616.0,613.0,106.0,3627.0,4576.0,1532.17,1383.44,30293.0,0.0,0.0,-70.38999999999942
3710,351.0,4888.0,3998.0,3966.0,419.0,4560.0,614.0,107.0,3273.0,5019.0,1826.01,1469.28,30001.0,0.0,0.0,489.2900000000009
3711,349.0,5035.0,4005.0,4021.0,423.0,4501.0,615.0,109.0,2568.0,5185.0,352.78,2022.25,30015.0,0.0,0.0,-828.9700000000012
3712,352.0,5288.0,4273.0,4589.0,424.0,4496.0,613.0,111.0,1934.0,5137.0,189.09,2730.95,29432.0,0.0,0.0,705.0400000000009
3713,353.0,5318.0,4474.0,5195.0,429.0,4493.0,622.0,112.0,1179.0,4586.0,1538.94,2292.14,29408.0,0.0,0.0,1184.0800000000017
3714,353.0,5818.0,4499.0,5455.0,434.0,4494.0,627.0,113.0,597.0,4002.0,2285.08,2870.9,29817.0,0.0,0.0,1730.9799999999996
3715,357.0,5925.0,4383.0,5158.0,411.0,4495.0,626.0,111.0,313.0,3893.0,1309.66,2946.21,30420.0,0.0,0.0,-492.130000000001
3716,352.0,5839.0,4332.0,4722.0,412.0,4497.0,607.0,110.0,232.0,4209.0,1483.94,1003.19,29210.0,0.0,0.0,-1410.869999999999
3717,355.0,5522.0,4142.0,4465.0,398.0,4485.0,611.0,109.0,187.0,4225.0,2052.66,340.37,26733.0,0.0,0.0,159.02999999999884
3718,352.0,5260.0,3736.0,4017.0,431.0,4409.0,604.0,108.0,163.0,4055.0,1737.66,15.28,25224.0,0.0,0.0,-336.0600000000013
3719,351.0,5574.0,3273.0,3796.0,437.0,4319.0,599.0,108.0,150.0,3773.0,1764.16,0.0,23877.0,0.0,28.46,238.69999999999985
3720,348.0,5742.0,2936.0,3659.0,449.0,4229.0,569.0,107.0,150.0,3625.0,1744.42,154.53,23051.0,0.0,0.0,661.9500000000007
3721,350.0,5666.0,2838.0,3558.0,446.0,4169.0,567.0,107.0,148.0,3428.0,1752.64,128.95,22705.0,0.0,0.0,453.59000000000015
3722,349.0,5881.0,2790.0,3461.0,438.0,4121.0,560.0,105.0,142.0,3303.0,1814.14,357.55,22529.0,0.0,0.0,792.6899999999987
3723,351.0,5977.0,2958.0,3636.0,390.0,4064.0,559.0,103.0,91.0,3113.0,1791.17,818.0,22900.0,0.0,0.0,951.1699999999983
3724,350.0,6432.0,3400.0,4137.0,389.0,4057.0,555.0,102.0,83.0,2715.0,1840.5,1637.26,24633.0,0.0,0.0,1064.760000000002
3725,349.0,6834.0,4003.0,4637.0,393.0,4057.0,564.0,100.0,130.0,2545.0,1547.42,2979.35,27273.0,0.0,0.0,865.7700000000004
3726,349.0,6574.0,4318.0,5764.0,399.0,4057.0,564.0,103.0,502.0,2250.0,1949.87,2793.48,29623.0,0.0,0.0,0.3499999999985448
3727,360.0,6470.0,4468.0,6583.0,407.0,4058.0,567.0,103.0,1176.0,1959.0,1440.82,2733.45,30803.0,0.0,0.0,-477.72999999999956
3728,359.0,6402.0,4439.0,6953.0,415.0,4057.0,567.0,107.0,1881.0,1990.0,184.74,2799.04,31440.0,0.0,0.0,-1286.2200000000012
