,biomass,gas,hydro,other_fossil,solar,wind_onshore,LV -> LT,PL -> LT,SE -> LT,demand,LT -> LV,LT -> PL,LT -> SE,mismatch
64,51.67,45.56,105.45,20.17,0.0,351.6,515.5,0.0,589.3,1735.0,0.0,487.13,0.0,-542.88
65,51.97,45.56,105.36,20.53,0.0,379.92,445.5,0.0,624.4,1688.0,0.0,487.2,0.0,-501.95999999999975
66,51.95,45.53,105.43,25.97,0.0,380.47,481.5,0.0,512.6,1627.0,0.0,487.71,0.0,-511.25999999999993
67,51.95,45.9,105.44,30.9,0.0,390.6,586.5,0.0,260.5,1529.0,0.0,485.91,0.0,-543.1200000000001
68,51.93,46.1,105.4,38.83,0.0,385.37,577.0,0.0,139.6,1374.0,0.0,483.24,0.0,-513.01
69,51.66,45.87,105.37,38.42,0.0,380.48,473.5,0.0,0.0,1232.0,0.0,190.66,82.9,-410.26000000000005
70,51.23,45.85,105.46,39.24,0.0,370.15,455.0,0.0,0.0,1146.0,0.0,0.37,308.5,-387.94000000000017
71,51.01,45.78,105.46,39.82,0.0,349.01,532.5,0.0,0.0,1101.0,0.0,0.0,375.2,-352.62000000000006
72,50.83,45.93,105.46,39.86,0.0,340.96,638.0,0.12,0.0,1068.0,0.0,0.0,338.1,-184.94000000000017
73,50.92,45.89,105.49,40.73,0.0,339.6,613.0,50.24,0.0,1064.0,0.0,0.0,334.7,-152.8300000000001
74,51.11,45.86,105.46,40.45,0.0,326.6,637.5,50.18,0.0,1071.0,0.0,0.0,305.5,-119.34000000000015
75,51.45,45.82,105.46,40.01,0.0,319.48,597.0,0.25,0.0,1141.0,0.0,0.0,364.0,-345.53
76,52.03,45.77,105.46,39.55,0.0,329.7,505.0,0.0,0.0,1348.0,0.0,0.0,54.1,-324.59000000000003
77,52.17,45.75,105.47,39.48,0.0,360.71,621.0,0.06,0.0,1553.0,0.0,0.0,19.9,-348.2600000000001
78,52.26,45.67,105.45,39.37,0.0,365.41,550.5,0.0,107.6,1691.0,0.0,0.86,0.0,-425.5999999999998
79,52.25,45.43,105.48,38.67,1.24,351.67,828.0,0.0,0.0,1740.0,0.0,419.08,55.3,-791.64
80,52.11,45.33,105.49,39.12,2.35,325.48,961.5,0.0,36.2,1751.0,0.0,486.01,0.0,-669.4300000000001
81,51.99,45.28,105.47,40.45,2.79,295.56,891.0,0.0,133.8,1753.0,0.0,485.9,0.0,-672.5600000000001
82,51.62,45.33,106.02,37.93,2.23,286.17,602.2156862745098,0.0,259.1,1734.0,0.0,485.99,0.0,-829.3743137254903
