,hydro,nuclear,solar,wind_onshore,AT -> CH,DE -> CH,FR -> CH,IT -> CH,demand,CH -> AT,CH -> DE,CH -> FR,CH -> IT,mismatch
82,1169.86,2812.4,4.39,2.55,945.74,2739.59,1594.24,0.0,8261.0,0.0,0.0,0.0,2203.0,-1195.2299999999996
83,1088.69,2809.0,5.07,2.61,633.58,2743.7,1589.76,0.0,8214.0,0.0,0.0,0.0,1689.0,-1030.5900000000001
84,1037.93,2806.8,4.76,3.01,665.67,2546.72,1791.77,0.0,8058.0,0.0,0.0,0.0,1780.0,-981.3400000000001
85,1048.93,2797.6,3.34,3.22,508.64,2212.99,2217.99,0.0,7864.0,0.0,0.0,0.0,1879.0,-950.2900000000009
86,1137.78,2793.4,1.28,3.14,371.26,2210.17,2434.16,0.0,7846.0,0.0,0.0,0.0,2214.0,-1108.8099999999995
87,1159.71,2793.6,0.11,3.41,378.12,2626.89,2335.12,0.0,8052.0,0.0,0.0,0.0,2447.0,-1202.0400000000009
88,1437.51,2794.6,0.01,3.08,438.89,2581.43,2154.91,0.0,8171.0,0.0,0.0,0.0,2728.0,-1488.5699999999997
89,1504.41,2795.1,0.02,2.64,595.82,3085.56,1687.24,0.0,8122.0,0.0,0.0,0.0,3260.0,-1711.2099999999991
90,1411.0,2794.7,0.02,3.55,683.77,3381.51,1584.22,0.0,7809.0,0.0,0.0,0.0,3571.0,-1521.2299999999996
91,717.71,2796.5,0.02,2.88,796.08,3695.23,1739.5,0.0,7392.0,0.0,0.0,0.0,3355.0,-999.0799999999999
92,689.15,2794.2,0.02,2.4,890.58,3801.58,1687.15,0.0,7228.0,0.0,0.0,0.0,3605.0,-967.9200000000001
93,587.58,2796.8,0.02,2.66,954.06,3568.19,1571.8,0.0,7494.0,0.0,0.0,0.0,3103.0,-1115.8899999999994
94,458.46,2798.1,0.02,2.71,934.48,3587.66,1400.08,0.0,7715.0,0.0,0.0,0.0,2603.0,-1136.4900000000016
95,614.1,2801.8,0.29,23.3,957.16,3483.43,1487.02,0.0,7274.0,0.0,0.0,0.0,3181.0,-1087.8999999999996
96,430.11,2805.9,0.29,20.84,1053.97,3620.3,1411.87,0.0,7424.0,0.0,0.0,0.0,3032.0,-1112.7199999999993
97,454.0,2805.9,0.29,20.55,1234.41,3923.49,1035.97,0.0,7283.0,0.0,0.0,0.0,3317.0,-1125.3899999999994
98,429.51,2806.0,0.28,20.48,1091.47,3796.4,1377.43,0.0,7408.0,0.0,0.0,0.0,3303.0,-1189.4300000000003
99,446.33,2807.3,0.27,19.95,779.45,3350.53,1796.96,0.0,7311.0,0.0,0.0,0.0,3031.0,-1141.2099999999991
100,472.9,2805.8,0.22,20.2,724.01,2899.22,2072.02,0.0,7511.0,0.0,0.0,0.0,2532.0,-1048.630000000001
101,807.5,2805.8,0.24,23.21,641.59,2978.89,1809.48,0.0,6855.0,0.0,0.0,0.0,3155.0,-943.2900000000009
