,biomass,gas,hard_coal,other_fossil,solar,wind_offshore,wind_onshore,DE -> DK,NO -> DK,SE -> DK,demand,DK -> DE,DK -> NO,DK -> SE,mismatch
2087,736.0,257.0,626.0,149.0,0.0,1128.38,2962.38,635.0899999999999,0.0,0.0,3782.9,0.0,1521.79,1446.3,-257.1399999999999
2088,747.0,240.0,636.0,135.0,0.0,1136.68,2924.3,636.75,0.0,0.0,3537.7,0.0,1509.87,1361.2,46.960000000000946
2089,779.0,276.0,681.0,135.0,0.0,1086.38,2752.85,348.19000000000005,0.0,0.0,3569.0,0.0,1466.58,1096.51,-73.67000000000007
2090,806.0,296.0,756.0,147.0,0.0,1052.52,2650.98,341.34000000000003,0.0,0.0,3466.4,0.0,1425.99,1178.82,-21.36999999999989
2091,849.0,367.0,956.0,163.0,0.0,1032.8,2476.59,226.24,0.0,0.0,3549.2,0.0,1218.25,1512.2,-209.01999999999953
2092,850.0,490.0,1426.0,175.0,0.09,1016.65,2332.44,0.0,0.0,0.0,3774.9,622.92,637.03,1278.4,-23.06999999999971
2093,856.86,632.76,1557.4,201.02,6.49,1008.79,2266.3,0.0,0.0,0.0,3948.8,674.45,310.5,1469.2,126.66999999999962
2094,856.32,649.12,1603.54,188.24,34.06,1003.5,2315.34,0.0,0.0,0.0,4243.8,530.98,662.02,1334.5,-121.17999999999938
2095,858.5,667.0,1706.54,189.5,74.36,967.04,2405.94,594.8100000000001,0.0,0.0,4361.0,0.0,1239.89,1662.0,200.8000000000011
2096,852.62,651.92,1623.08,171.34,118.91,963.63,2426.32,879.68,0.0,0.0,4490.9,0.0,1248.18,1705.1,243.32000000000062
2097,850.58,638.28,1491.46,164.06,171.8,886.95,2354.46,1032.87,0.0,0.0,4476.5,0.0,1225.96,1547.5,340.5
2098,837.88,591.08,1287.56,161.16,206.34,754.89,2289.14,1469.41,0.0,0.0,4365.2,0.0,1249.66,1701.0,281.59999999999945
