,gas,hard_coal,hydro,other_fossil,wind_onshore,demand,mismatch
4414,1550.0,300.0,36.0,539.0,256.0,2863.96,-182.96000000000004
4415,1491.0,335.0,77.0,522.0,220.0,2582.89,62.11000000000013
4416,1608.0,375.0,148.0,562.0,186.0,2433.77,445.23
4417,1628.0,364.0,148.0,554.0,135.0,2339.6,489.4000000000001
4418,1631.0,285.0,147.0,555.0,99.0,2296.77,420.23
4419,1533.0,230.0,146.0,548.0,88.0,2290.11,254.88999999999987
4420,1556.0,236.0,145.0,557.0,74.0,2304.7,263.3000000000002
4421,1641.0,268.0,143.0,569.0,58.0,2563.89,115.11000000000013
4422,1650.0,355.0,12.0,554.0,38.0,3024.19,-415.19000000000005
4423,1688.0,421.0,21.0,561.0,19.0,3422.1,-712.0999999999999
4424,1614.0,464.0,39.0,560.0,9.0,3619.92,-933.9200000000001
4425,1559.0,455.0,36.0,544.0,16.0,3661.37,-1051.37
4426,1559.0,445.0,16.0,547.0,39.0,3686.38,-1080.38
4427,1595.0,428.0,16.0,552.0,42.0,3713.21,-1080.21
4428,1580.0,409.0,16.0,554.0,74.0,3667.47,-1034.4699999999998
4429,1551.0,390.0,16.0,570.0,118.0,3649.68,-1004.6799999999998
4430,1560.0,392.0,16.0,558.0,153.0,3634.97,-955.9699999999998
4431,1567.0,399.0,18.0,577.0,207.0,3645.7,-877.6999999999998
4432,1567.0,399.0,26.0,581.0,294.0,3709.16,-842.1599999999999
4433,1558.0,400.0,33.0,580.0,374.0,3605.63,-660.6300000000001
4434,1555.0,399.0,25.0,576.0,431.0,3447.01,-461.0100000000002
4435,1550.0,399.0,19.0,575.0,364.0,3306.76,-399.7600000000002
4436,1648.0,409.0,21.0,582.0,289.0,3187.03,-238.0300000000002
4437,1686.0,401.0,21.0,584.0,299.0,3123.66,-132.65999999999985
4438,1616.0,391.0,17.0,577.0,366.0,2892.55,74.44999999999982
4439,1523.0,389.0,13.0,576.0,388.0,2646.73,242.26999999999998
4440,1647.0,374.0,149.0,592.0,358.0,2486.13,633.8699999999999
4441,1669.0,286.0,148.0,597.0,259.0,2395.17,563.8299999999999
4442,1640.0,279.0,146.0,596.0,235.0,2360.69,535.31
4443,1564.0,283.0,146.0,596.0,306.0,2373.76,521.2399999999998
4444,1547.0,231.0,144.0,602.0,295.0,2375.13,443.8699999999999
4445,1509.0,253.0,143.0,603.0,253.0,2600.28,160.7199999999998
4446,1530.0,272.0,44.0,588.0,208.0,3020.92,-378.9200000000001
4447,1507.0,264.0,16.0,580.0,204.0,3385.56,-814.56
4448,1497.0,260.0,16.0,577.0,122.0,3566.93,-1094.9299999999998
4449,1460.0,217.0,16.0,584.0,61.0,3602.76,-1264.7600000000002
4450,1498.0,247.0,40.0,592.0,27.0,3643.96,-1239.96
4451,1508.0,290.0,58.0,585.0,9.0,3681.55,-1231.5500000000002
4452,1486.0,311.0,33.0,578.0,3.0,3629.77,-1218.77
4453,1462.0,235.0,11.0,592.0,18.0,3587.57,-1269.5700000000002
