,biomass,gas,hard_coal,hydro,lignite,nuclear,other_fossil,other_renewable,solar,CZ -> SK,HU -> SK,PL -> SK,demand,SK -> CZ,SK -> HU,SK -> PL,mismatch
65,29.6,203.0,68.6,990.6,187.8,1906.5,497.9,38.7,6.3,1417.63,0.0,422.6,3898.52,0.0,1255.67,0.0,615.0399999999995
66,29.4,193.9,65.1,932.24,190.1,1906.3,493.2,40.1,0.5,1313.0,0.0,404.6,3838.52,0.0,1193.9,0.0,536.0199999999995
67,29.2,196.0,65.9,935.01,190.6,1905.3,492.6,38.6,0.0,1326.2,0.0,391.6,3764.97,0.0,1123.97,0.0,682.0700000000004
68,29.8,190.8,63.8,728.25,189.2,1902.7,484.6,39.0,0.0,1183.58,0.0,396.7,3542.33,0.0,1147.24,0.0,518.8600000000004
69,29.2,191.3,63.7,689.97,189.4,1901.2,482.1,39.3,0.0,1054.33,0.0,418.4,3357.77,0.0,1150.35,0.0,550.7800000000007
70,29.2,192.3,61.1,647.87,190.9,1900.4,473.9,40.7,0.0,881.5,0.0,396.0,3222.87,0.0,1100.19,0.0,490.81000000000085
71,29.0,193.0,60.7,615.63,190.8,1900.1,473.4,41.2,0.0,960.73,0.0,370.8,3097.56,0.0,984.33,0.0,753.4699999999997
72,29.7,183.0,57.7,579.03,124.3,1887.2,467.6,41.0,0.0,998.0,0.0,391.6,2988.83,0.0,890.19,0.0,880.1099999999992
73,29.7,171.8,52.8,562.15,100.7,1890.8,458.3,39.6,0.0,990.08,0.0,400.5,2966.98,0.0,899.81,0.0,829.6400000000003
74,29.8,174.9,53.8,562.48,101.7,1894.7,460.2,38.2,0.0,938.38,0.0,394.7,2933.69,0.0,857.61,0.0,857.5599999999996
75,29.5,171.6,52.0,568.24,100.1,1891.2,460.9,37.9,0.0,944.43,0.0,400.9,2996.7,0.0,830.65,0.0,829.4200000000006
76,29.6,182.7,58.3,582.86,104.7,1898.4,472.8,36.9,0.0,914.45,0.0,363.0,3109.42,0.0,922.18,0.0,612.1100000000009
77,29.6,189.6,60.1,617.02,106.9,1899.4,476.1,36.8,0.0,1056.95,0.0,365.8,3429.02,0.0,993.55,0.0,415.7000000000005
78,29.9,185.4,60.9,680.75,105.5,1895.3,478.1,37.3,0.0,1058.68,0.0,337.6,3599.56,0.0,888.28,0.0,381.5900000000004
79,30.0,187.3,62.5,686.34,106.0,1899.4,482.0,35.2,0.2,1072.25,0.0,443.5,3718.27,0.0,903.27,0.0,383.14999999999964
80,29.9,183.7,61.4,723.68,104.4,1896.7,480.2,35.3,7.9,1145.85,0.0,556.5,3804.38,0.0,972.8,0.0,448.3499999999997
81,29.7,182.6,61.0,723.78,104.0,1898.6,475.8,34.6,34.6,1253.5,0.0,600.3,3788.47,0.0,1158.9,0.0,451.1099999999997
82,30.6,185.2,62.4,735.28,104.6,1898.5,476.1,34.8,69.3,1189.55,0.0,539.4,3840.3,0.0,1162.0,0.0,323.4299999999994
83,30.9,185.5,62.2,848.19,104.9,1898.8,473.3,35.3,107.8,1068.0,0.0,493.1,3800.51,0.0,1021.96,0.0,485.5199999999995
84,30.6,182.3,60.9,808.11,104.1,1897.7,471.8,36.2,122.5,1006.7,0.0,438.2,3761.77,0.0,970.85,0.0,426.4900000000006
85,30.8,184.3,62.1,844.2,105.1,1897.2,474.5,35.7,86.4,959.85,0.0,396.7,3770.9,0.0,911.1,0.0,394.84999999999934
