,biomass,gas,hydro,oil,other_fossil,other_renewable,solar,waste,wind_onshore,demand,mismatch
5190,59.7,1.0,3.5,789.3,5.0,7.3,0.7,16.7,25.9,741.78,167.32000000000005
5191,59.8,1.0,3.5,817.6,0.0,7.3,0.7,16.9,36.2,773.49,169.51
5192,59.4,1.0,3.5,815.0,5.0,7.3,0.7,16.7,43.0,785.96,165.64
5193,59.2,1.0,3.5,784.5,0.0,7.3,0.7,16.5,47.4,783.23,136.87
5194,58.5,1.0,3.5,764.2,4.9,7.3,0.7,15.4,56.8,788.23,124.06999999999994
5195,58.3,1.0,3.5,764.1,0.0,7.3,0.7,15.9,65.8,779.66,136.93999999999994
5196,58.3,1.0,3.5,761.9,0.0,7.3,0.7,16.3,60.2,778.74,130.45999999999992
5197,57.7,1.0,3.5,741.9,4.8,7.3,0.7,16.4,55.7,777.91,111.09000000000003
5198,57.6,1.0,3.5,741.7,4.9,7.3,0.7,16.5,53.9,781.34,105.75999999999999
5199,58.5,1.0,3.5,758.8,0.0,7.3,0.7,15.9,46.8,783.35,109.14999999999986
5200,59.0,1.0,3.5,760.6,0.0,7.3,0.7,15.9,58.0,779.84,126.15999999999997
5201,60.2,1.0,3.5,741.4,0.0,7.3,0.7,15.5,78.8,773.56,134.84000000000003
5202,60.5,1.0,3.5,728.0,0.0,7.3,0.7,15.4,90.5,770.93,135.97000000000003
5203,60.3,1.0,3.5,792.9,5.2,7.3,0.7,15.5,42.6,769.53,159.47000000000003
5204,60.3,1.0,3.5,813.8,0.0,7.3,0.7,15.8,52.1,710.83,243.66999999999985
5205,59.8,1.0,3.5,779.6,5.1,7.3,0.7,16.4,69.4,653.24,289.55999999999995
5206,59.6,1.0,3.5,863.2,5.1,7.3,0.7,16.3,78.1,616.44,418.3599999999999
5207,59.2,1.0,3.5,901.9,0.0,7.3,0.7,16.1,73.7,600.33,463.07000000000005
5208,58.4,1.0,3.5,914.45,0.0,7.3,0.7,16.0,70.75,589.87,482.2299999999999
