,hydro,nuclear,other_fossil,wind_onshore,DE -> SE,DK -> SE,FI -> SE,LT -> SE,NO -> SE,PL -> SE,demand,SE -> DE,SE -> DK,SE -> FI,SE -> LT,SE -> NO,SE -> PL,mismatch
41,12031.0,7312.0,1152.0,1445.0,0.0,0.0,0.0,0.0,2966.26,0.0,21076.0,610.2,1106.89,1917.11,62.0,0.0,597.6,-463.53999999999814
42,11774.0,7318.0,1140.0,1429.0,0.0,0.0,0.0,0.0,2990.29,0.0,20344.0,610.6,865.1700000000001,2144.44,183.8,0.0,597.6,-94.31999999999971
43,10878.0,7321.0,1115.0,1381.0,0.0,0.0,0.0,0.0,1896.48,0.0,19404.0,596.1,95.75,1598.78,374.2,0.0,597.7,-75.05000000000018
44,10008.0,7326.0,1101.0,1326.0,0.0,826.9399999999999,0.0,0.0,930.13,0.0,18687.0,104.9,0.0,1917.55,321.5,0.0,597.6,-110.48000000000002
45,8834.0,7329.0,1094.0,1258.0,96.7,1301.9,0.0,0.0,80.10999999999999,0.0,17651.0,0.0,0.0,1675.87,12.6,0.0,597.5,56.73999999999933
46,7654.0,7329.0,1085.0,1242.0,75.9,1530.4,0.0,0.0,0.0,0.0,16870.0,0.0,0.0,1046.48,39.8,140.59,597.6,221.82999999999947
47,5614.0,7330.0,1116.0,1055.0,75.4,1337.8,0.0,0.0,268.4,0.0,16136.0,0.0,0.0,436.06,3.6,0.0,595.1,-374.16000000000145
48,5413.0,7335.0,1104.0,1038.0,75.3,1462.2,0.0,0.0,0.0,0.0,15764.0,0.0,0.0,100.02,2.7,468.5799999999999,461.7,-369.5
49,5390.0,7336.0,1097.0,1092.0,75.4,1677.4,0.0,0.0,0.0,0.0,15738.0,0.0,0.0,84.9,2.8,812.74,369.2,-339.8400000000008
50,5382.0,7337.0,1110.0,1150.0,71.8,1710.1,0.0,0.0,0.0,0.0,15596.0,0.0,0.0,113.61,4.0,1016.31,354.3,-323.31999999999834
51,5637.0,7335.0,1116.0,1259.0,48.0,1787.5,0.0,0.0,0.0,0.0,15742.0,0.0,0.0,330.34,4.9,1054.39,348.4,-297.5300000000002
52,5924.0,7335.0,1138.0,1436.0,1.9,1782.0,0.0,0.0,0.0,0.0,16252.0,0.0,0.0,880.95,122.5,287.68999999999994,470.1,-396.3399999999983
53,8068.0,7336.0,1161.0,1597.0,2.1,1746.9,0.0,0.0,660.09,0.0,17743.0,0.0,0.0,1326.3,642.3,0.0,597.7,261.78999999999996
54,9671.0,7333.0,1185.0,1756.0,2.2,1515.7,0.0,0.0,763.4699999999999,0.0,18973.0,0.0,0.0,1589.65,730.0,0.0,597.7,336.0199999999986
55,10115.0,7335.0,1142.0,1952.0,65.2,1133.6,0.0,0.0,957.07,0.0,19706.0,0.0,0.0,1653.54,730.6,0.0,597.6,12.1299999999992
56,10067.0,7337.0,1146.0,2116.0,66.4,782.9,0.0,0.0,1039.4199999999998,0.0,19907.0,0.0,0.0,1436.77,730.4,0.0,597.6,-117.04999999999882
57,10148.0,7334.0,1141.0,2361.0,66.5,292.78,0.0,0.0,1665.78,0.0,20604.0,0.0,0.0,1534.27,656.3,0.0,597.5,-383.0099999999984
58,10019.0,7335.0,1136.0,2385.0,66.5,0.0,0.0,0.0,1786.95,0.0,20576.0,0.0,36.34,1348.25,728.4,0.0,597.4,-557.9399999999991
59,9905.0,7333.0,1129.0,2488.0,66.6,37.620000000000005,0.0,0.0,1804.54,0.0,20800.0,0.0,0.0,1305.84,647.6,0.0,597.5,-587.1800000000017
60,9721.0,7333.0,1140.0,2455.0,66.6,143.18,0.0,0.0,2008.66,0.0,20917.0,0.0,0.0,1366.06,682.3,0.0,597.4,-695.3200000000011
61,9819.0,7332.0,1154.0,2420.0,67.0,0.0,0.0,0.0,2395.76,0.0,21321.0,0.0,93.04999999999995,1652.51,663.0,0.0,597.4,-1139.199999999998
62,9983.0,7332.0,1224.0,2398.0,67.3,21.870000000000005,0.0,0.0,2497.16,0.0,21563.0,0.0,0.0,1728.61,570.1,0.0,597.5,-935.8799999999983
63,10540.0,7333.0,1237.0,2386.0,67.3,0.0,0.0,0.0,2557.47,0.0,21862.0,0.0,171.72999999999996,1635.3,523.9,0.0,597.5,-669.6599999999994
64,10549.0,7333.0,1225.0,2345.0,67.2,0.0,0.0,0.0,2721.4,0.0,21908.0,0.0,504.23,1410.83,589.3,0.0,597.4,-769.1600000000012
65,10120.0,7334.0,1240.0,2239.0,67.2,0.0,0.0,0.0,2734.19,0.0,21544.0,0.0,513.99,1364.47,624.4,0.0,597.4,-909.8700000000008
66,9548.0,7334.0,1232.0,2128.0,67.3,0.0,0.0,0.0,2431.3,0.0,20984.0,0.0,457.12,1262.25,512.6,0.0,597.5,-1072.8700000000013
67,9093.0,7337.0,1237.0,1998.0,67.1,0.0,0.0,0.0,1829.59,0.0,20202.0,0.0,189.39,1035.3,260.5,0.0,597.5,-723.0000000000014
68,8569.0,7328.0,1251.0,1897.0,67.2,27.459999999999997,0.0,0.0,1525.65,0.0,19290.0,0.0,0.0,1404.75,139.6,0.0,597.5,-766.5399999999986
69,7683.0,7324.0,1246.0,1835.0,67.2,334.2,0.0,82.9,1096.12,0.0,18580.0,0.0,0.0,1168.95,0.0,0.0,575.5,-656.0300000000018
70,6709.0,7326.0,1225.0,1776.0,67.3,310.0,0.0,308.5,268.0,0.0,17601.0,0.0,0.0,1027.35,0.0,0.0,27.0,-665.5500000000006
71,5586.0,7414.0,1236.0,1786.0,67.3,337.19,0.0,375.2,0.0,1.51,16618.0,0.0,0.0,547.36,0.0,483.21,0.0,-845.3699999999992
72,5533.0,7435.0,1230.0,1786.0,67.3,263.84000000000003,0.0,338.1,0.0,120.1,16460.0,0.0,0.0,476.29,0.0,873.81,0.0,-1036.7599999999998
73,5449.0,7452.0,1222.0,1743.0,67.2,565.67,0.0,334.7,0.0,303.12,16234.0,0.0,0.0,388.01,0.0,1409.63,0.0,-894.9500000000014
74,5420.0,7794.0,1238.0,1741.0,67.2,745.7,0.0,305.5,0.0,317.58,16060.0,0.0,0.0,501.84,0.0,1598.64,0.0,-531.5000000000005
75,5886.0,8028.0,1245.0,1749.0,67.1,993.2,0.0,364.0,0.0,138.89,16179.0,0.0,0.0,679.77,0.0,1599.26,0.0,13.159999999998945
76,6061.0,8135.0,1274.0,1724.0,67.1,1304.5,0.0,54.1,0.0,338.68,17099.0,0.0,0.0,1279.64,0.0,869.28,0.0,-289.53999999999905
77,7326.0,7969.0,1309.0,1723.0,4.4,833.5,0.0,19.9,357.9,11.89,18599.0,0.0,0.0,1544.18,0.0,0.0,0.0,-588.5899999999999
78,10049.0,7816.0,1341.0,1748.0,0.0,0.0,0.0,0.0,1547.04,0.0,20820.0,450.4,527.28,1620.49,107.6,0.0,331.7,-1356.429999999999
79,11549.0,7861.0,1400.0,1691.0,0.0,0.0,0.0,55.3,2190.66,0.0,21301.0,590.9,1014.11,2045.7,0.0,0.0,577.6,-782.3500000000013
80,11613.0,8054.0,1386.0,1634.0,0.0,0.0,0.0,0.0,1918.54,0.0,21002.0,610.2,920.15,1799.19,36.2,0.0,597.7,-359.8999999999987
81,11880.0,8135.0,1388.0,1598.0,0.0,0.0,0.0,0.0,2370.9,0.0,21536.0,610.3,1412.41,1543.44,133.8,0.0,597.6,-461.6499999999987
82,11458.0,8220.0,1386.0,1658.0,0.0,0.0,0.0,0.0,2550.56,0.0,21558.0,610.3,1359.93,1382.18,259.1,0.0,597.5,-494.4499999999989
