,biomass,gas,hard_coal,hydro,other_fossil,solar,wind_onshore,ES -> PT,demand,PT -> ES,mismatch
325,209.1,3198.6,1701.0,832.0,116.9,242.0,546.0,0.0,5868.0,757.74,219.85999999999945
326,207.1,3198.0,1701.6,581.9,116.2,199.0,528.6,0.0,5779.0,645.51,107.88999999999965
327,205.0,3264.0,1700.0,600.6,118.1,120.7,397.5,0.0,5728.0,607.03,70.87000000000057
328,203.8,3220.0,1700.2,820.3,115.4,48.1,277.0,0.0,6119.0,637.52,-371.7199999999998
329,207.5,3256.9,1700.0,1177.1,115.8,3.0,284.7,0.0,6904.0,610.08,-769.08
330,207.8,3347.4,1699.7,2096.6,115.6,0.0,514.7,0.0,7219.0,1052.05,-289.2499999999998
331,212.8,3268.2,1700.1,3172.2,116.1,0.0,763.3,0.0,7230.0,1998.1,4.5999999999989996
332,216.8,3233.0,1700.7,3513.6,116.7,0.0,910.7,0.0,6947.0,2449.23,295.2700000000018
333,213.3,3289.1,1701.1,2456.2,117.2,0.0,791.7,0.0,6547.0,1618.05,403.5500000000004
334,212.5,2969.2,1700.4,1296.3,118.9,0.0,569.6,0.0,5904.0,315.07,647.8300000000006
335,216.9,2023.9,1700.3,779.1,120.1,0.0,494.2,586.56,5310.0,0.0,611.0600000000013
336,214.3,1565.8,1698.3,442.1,119.1,0.0,481.3,816.05,4925.0,0.0,411.9499999999998
337,216.4,1375.3,1680.6,281.2,119.8,0.0,471.0,1262.79,4751.0,0.0,656.0900000000001
338,214.0,1455.9,1629.6,273.4,118.7,0.0,411.7,1160.43,4666.0,0.0,597.7300000000005
339,213.8,1415.8,1630.6,279.2,118.4,0.0,396.1,1215.27,4645.0,0.0,624.1700000000001
340,212.4,1443.6,1668.7,282.9,118.8,0.0,349.0,1271.92,4765.0,0.0,582.3199999999997
341,211.0,1714.7,1699.2,397.3,121.2,0.0,321.7,334.13,5238.0,0.0,-438.7699999999995
342,208.9,2567.8,1699.1,486.6,119.7,0.0,239.1,0.0,6068.0,61.22,-808.0199999999993
343,208.2,3030.8,1679.7,1478.9,118.5,0.3,221.9,0.0,6990.0,656.12,-907.8199999999998
344,210.9,3067.4,1638.4,1836.1,118.6,60.7,256.4,0.0,7564.0,189.04,-564.539999999999
345,215.2,3119.8,1640.1,1735.1,119.8,206.6,207.5,334.19,7702.0,0.0,-123.70999999999913
346,219.3,3061.2,1640.0,1377.4,121.9,293.6,167.4,836.09,7787.0,0.0,-70.11000000000058
347,219.6,3018.8,1640.7,980.1,119.2,327.3,169.0,1332.19,7610.0,0.0,196.89000000000124
348,217.1,3036.8,1656.1,843.7,120.4,333.8,297.0,1128.22,7448.0,0.0,185.1199999999999
349,215.2,3106.8,1700.7,558.2,115.9,318.1,403.4,1051.31,7516.0,0.0,-46.39000000000124
350,214.9,3168.7,1698.8,542.8,114.2,294.9,613.4,889.33,7384.0,0.0,153.02999999999884
351,217.0,3437.5,1698.6,426.8,113.4,245.9,861.7,504.1,7348.0,0.0,157.0
352,214.9,3574.9,1698.2,429.1,113.4,120.5,1036.1,457.01,7517.0,0.0,127.11000000000058
353,212.6,3458.8,1698.2,555.6,111.2,8.3,1220.0,351.99,8131.0,0.0,-514.3099999999995
354,213.4,3525.5,1699.4,1089.6,112.5,0.0,1246.1,269.75,8377.0,0.0,-220.75
355,212.7,3558.2,1699.2,1394.4,113.7,0.0,1357.7,61.48,8271.0,0.0,126.3799999999992
356,215.7,3497.9,1699.3,936.7,114.6,0.0,1479.1,347.55,7942.0,0.0,348.84999999999854
