,biomass,gas,hard_coal,hydro,nuclear,other_fossil,other_renewable,wind_onshore,NO -> FI,SE -> FI,demand,FI -> NO,FI -> SE,mismatch
1593,1059.0,978.0,1545.9,2108.2,2792.3,1234.56,41.28,240.56,0.0,1798.26,12948.1,67.02,0.0,-1217.059999999999
1594,1036.8,971.39,1553.7,1843.3,2791.4,1182.84,42.9,203.97,0.0,2083.11,12855.46,56.07,0.0,-1202.1199999999992
1595,1019.1,922.67,1527.2,1890.5,2791.7,1096.03,41.38,185.82,0.0,2132.9,12674.45,59.52,0.0,-1126.6700000000014
1596,1029.7,898.75,1485.9,1797.5,2792.6,1107.26,40.51,185.65,0.0,2291.33,12634.33,59.08,0.0,-1064.2099999999991
1597,1028.7,902.33,1463.2,1746.4,2792.5,1091.16,43.1,209.97,0.0,2241.7,12542.68,58.97,0.0,-1082.589999999999
1598,1019.9,901.15,1378.5,1748.4,2791.6,1094.78,43.1,297.3,0.0,2022.5,12448.69,60.32,0.0,-1211.779999999999
1599,1042.6,896.52,1384.8,1943.0,2791.7,1128.23,42.37,401.0,0.0,1675.48,12528.52,64.38,0.0,-1287.1999999999998
1600,1057.1,899.71,1447.9,2102.0,2792.2,1217.0,39.61,486.28,0.0,1563.84,12889.83,48.92,0.0,-1333.1099999999988
1601,1054.8,893.22,1451.2,2230.4,2792.2,1228.72,42.9,560.22,0.0,1557.4,13091.47,46.94,0.0,-1327.3500000000017
1602,1035.1,888.12,1446.2,2207.1,2792.3,1205.96,42.9,642.49,0.0,1218.1,12871.25,49.51,0.0,-1442.4900000000014
1603,1016.4,893.83,1292.2,1830.5,2792.2,1077.05,42.9,656.5,0.0,1274.78,12375.63,54.97,0.0,-1554.2399999999986
1604,1013.8,900.24,1229.8,1516.9,2792.2,1037.51,42.9,668.23,0.0,1432.03,12367.76,40.2,0.0,-1774.3500000000015
1605,993.23,910.23,1207.4,1460.1,2791.7,1028.75,42.9,603.01,0.0,1155.56,12083.05,55.04,0.0,-1945.21
1606,995.01,911.32,1169.6,1409.5,2792.1,1001.28,42.9,550.65,0.0,788.87,11639.86,55.84,0.0,-2034.4699999999991
1607,993.5,850.87,1175.2,1313.1,2792.5,955.48,42.9,550.2,0.0,486.58,11260.4,55.03,0.0,-2155.1
1608,991.9,850.84,1173.6,1287.3,2792.8,948.27,42.9,595.15,0.0,356.48,11106.79,62.13,0.0,-2129.680000000001
1609,988.22,877.58,1168.3,1244.2,2792.7,944.17,42.9,640.98,0.0,300.55,11062.34,75.99,0.0,-2138.7300000000014
1610,990.61,912.27,1166.9,1283.8,2793.2,941.49,42.9,679.55,0.0,248.73,11107.13,77.69,0.0,-2125.3700000000003
1611,1010.4,897.66,1177.8,1334.6,2792.2,979.23,42.94,676.37,0.0,558.88,11459.81,71.62,0.0,-2061.3499999999995
1612,1020.9,898.25,1181.3,1353.1,2792.2,997.3,43.3,676.14,0.0,1338.48,12270.33,60.93,0.0,-2030.2900000000025
1613,1037.3,881.13,1242.1,1647.5,2792.0,1027.24,43.3,684.77,0.0,1431.48,12419.69,56.15,0.0,-1689.020000000001
1614,1049.0,911.92,1276.2,1955.5,2791.6,1095.33,43.3,666.81,0.0,1335.04,12620.03,57.99,0.0,-1553.3200000000036
1615,1039.2,902.0,1221.8,2164.4,2791.6,1102.18,43.3,612.84,0.0,1365.54,12703.77,61.94,0.0,-1522.85
1616,1022.9,914.03,1236.1,2120.7,2791.5,1093.83,43.3,564.94,0.0,1437.98,12651.01,50.45,0.0,-1476.1800000000014
1617,1012.4,901.74,1195.1,1982.7,2791.1,1070.24,43.3,516.88,0.0,1636.56,12585.09,41.12,0.0,-1476.1900000000032
1618,1012.4,884.33,1136.8,1816.8,2791.2,1061.56,43.3,480.42,0.0,1846.2,12515.58,44.4,0.0,-1486.9699999999998
1619,1010.0,931.47,1135.5,1779.4,2792.2,1037.53,43.3,477.08,0.0,1788.9,12403.93,42.79,0.0,-1451.340000000001
1620,1008.9,897.08,1142.2,1839.8,2792.4,1036.15,43.3,517.03,0.0,1671.27,12307.54,41.8,0.0,-1401.2099999999998
1621,1008.4,921.26,1164.0,1887.0,2792.6,1037.96,43.3,535.54,0.0,1409.7,12216.13,36.76,0.0,-1453.1299999999972
1622,1013.0,910.81,1208.2,1998.6,2792.1,1064.23,43.3,571.24,0.0,1158.43,12179.66,30.41,0.0,-1450.16
1623,1040.4,920.55,1267.1,2123.5,2792.0,1102.95,40.7,612.34,0.0,875.84,12228.96,29.73,0.0,-1483.3099999999981
1624,1047.3,894.76,1268.7,2262.6,2792.1,1158.95,43.3,640.05,0.0,834.1,12483.79,35.83,0.0,-1577.7600000000002
1625,1048.2,903.28,1278.9,2351.5,2792.5,1185.47,43.3,650.74,0.0,818.15,12644.11,36.67,0.0,-1608.7400000000016
1626,1049.5,921.83,1306.9,2353.3,2791.9,1177.78,43.3,632.93,0.0,587.0600000000001,12341.19,45.03,0.0,-1521.7200000000005
1627,1029.0,936.04,1325.9,2174.3,2792.1,1151.75,43.3,604.74,0.0,358.73,11823.88,47.89,0.0,-1455.9100000000005
1628,1002.4,944.65,1327.5,1983.1,2792.4,1076.51,43.3,568.08,0.0,622.54,11848.14,29.55,0.0,-1517.2099999999998
1629,980.87,919.93,1227.7,1725.6,2792.5,976.78,43.3,550.32,0.0,618.24,11547.27,35.24,0.0,-1747.2700000000007
1630,960.15,902.13,1149.3,1522.9,2791.9,960.85,43.3,564.59,0.0,480.83,11100.93,44.62,0.0,-1769.6000000000013
1631,970.05,864.35,1099.7,1306.2,2791.3,941.72,43.3,529.28,0.0,292.67,10757.64,41.1,0.0,-1960.1699999999978
1632,959.85,872.93,1062.5,1256.8,2792.1,940.45,43.19,530.73,0.0,108.31,10520.9,44.01,0.0,-1998.0500000000009
1633,962.79,869.68,1060.3,1225.5,2791.8,937.85,41.0,557.7,0.0,0.0,10385.27,44.2,4.420000000000016,-1987.2699999999998
1634,963.93,878.29,1055.6,1262.4,2791.9,922.7,39.66,608.22,0.0,0.0,10316.77,48.2,148.07,-1990.3400000000015
1635,949.96,855.45,1053.4,1286.4,2791.7,924.46,43.3,594.09,0.0,110.08000000000004,10450.7,40.45,0.0,-1882.3100000000006
1636,946.09,865.78,1049.4,1346.8,2792.8,921.35,43.3,571.75,0.0,374.79,10670.03,37.03,0.0,-1794.9999999999993
1637,961.27,888.77,1054.3,1545.0,2791.5,930.49,43.3,551.33,0.0,143.7,10565.34,43.99,0.0,-1699.6700000000003
1638,961.67,886.62,1063.1,1677.4,2792.2,935.84,43.3,508.13,0.0,540.33,10873.75,33.6,0.0,-1498.7600000000016
1639,953.82,894.13,1065.8,1822.2,2793.2,934.26,43.3,477.83,0.0,843.07,11117.62,42.41,0.0,-1332.4200000000021
1640,948.08,885.25,1081.8,1887.6,2792.4,929.64,43.3,431.23,0.0,1032.6,11273.11,42.15,0.0,-1283.3600000000029
1641,951.83,878.57,1078.8,1830.1,2791.8,917.3,43.3,397.03,0.0,1165.5,11270.82,37.06,0.0,-1253.65
1642,947.5,885.34,1078.3,1802.1,2791.3,905.8,43.3,376.73,0.0,1178.0,11254.07,34.48,0.0,-1280.1800000000007
1643,940.06,897.12,1084.4,1750.0,2791.4,900.37,43.3,356.38,0.0,1142.0,11150.73,30.52,0.0,-1276.2200000000007
1644,936.69,892.87,1083.6,1803.1,2791.7,899.65,40.71,349.92,0.0,1084.9,11134.25,33.86,0.0,-1284.9700000000005
1645,946.14,890.16,1084.0,1750.1,2790.9,895.54,43.3,368.57,0.0,1124.3,11153.19,37.43,0.0,-1297.6100000000022
1646,952.45,884.26,1083.3,1743.5,2790.2,900.58,43.3,377.79,0.0,1224.1,11281.99,36.66,0.0,-1319.1699999999985
1647,960.63,880.13,1081.7,1781.3,2790.3,923.12,43.3,434.95,0.0,1302.15,11531.37,35.15,0.0,-1368.940000000001
1648,984.58,879.58,1084.6,1875.6,2790.7,924.78,43.3,495.65,0.0,1647.06,11986.59,36.25,0.0,-1296.9900000000016
1649,1002.5,863.22,1095.6,2052.2,2790.4,944.2,43.3,545.0,0.0,1497.3,12133.66,30.57,0.0,-1330.5100000000004
